"coords.x1","coords.x2"
394415.966313485,579273.557495769
482677.969645815,588380.596690536
455043.373446554,529412.620709759
594002.685318282,576031.909428498
604528.367440172,576688.788175993
590103.191891757,586830.444320588
589166.396661652,454904.743340564
546670.851483564,675909.18359414
545567.146009983,687002.353437316
490556.425612452,657001.247275323
385747.16744252,634086.474285646
412359.534256838,673338.28656514
456325.555495387,690556.260400834
486666.658644525,578096.991311037
481496.612315822,614597.380456955
450884.353404805,635611.138295499
573626.18021685,450305.428965391
509788.983103231,625701.378403796
493279.591705993,680768.540446854
513301.098753777,690693.276803547
599716.212729245,468540.664066298
451510.198536103,619495.562140454
525597.7734077,649343.031501957
506764.706357786,672483.641737574
459230.260373855,626666.136600249
474164.634493121,694629.78372347
572654.747308948,625698.91615473
517241.665763019,595414.087988751
453845.858722401,552663.892122962
556263.893002311,654593.343079259
400643.72100309,522003.000101685
462449.438311843,564316.060032727
428545.541851174,560584.952124072
420813.21508925,517366.418972102
512056.832284649,709964.128023673
420235.653663915,547786.469902126
579665.448040363,572623.364134124
553491.876344237,605141.748489607
489689.990689748,567267.894371978
545679.862392463,581729.539196692
568409.445618834,609236.306576663
516176.592944521,583002.000320206
439774.778648984,571309.966150136
516948.256352973,557580.316623883
415830.287243404,597149.673099203
429756.718129075,584488.524497075
495699.071403912,599328.547035033
420817.720530669,803127.433682761
436586.709769992,795751.157660632
436363.299770957,808324.043341505
618226.44936535,524560.316360665
405518.678488121,591527.70336899
536003.189576334,530262.809102691
457002.682440456,649221.146323341
471664.195683808,612346.466336793
554349.426961713,487853.281476346
530061.877156801,453029.390051891
517875.079137369,414011.786609486
572758.536531992,537352.45760874
612713.139997108,544598.794909947
530386.424501442,576001.093879235
539053.62792311,594045.639560933
501059.090838372,581004.947122946
538214.354801576,441241.840620891
400073.716068853,640098.343141133
576027.261923374,481201.95597598
384193.497936385,622538.916021794
445939.122927908,608683.614311892
469845.853511714,639994.582265792
594472.768606012,547520.375083015
497384.410578494,614180.556247433
597413.846322953,509556.05217269
541561.95511359,453868.002204058
414795.853760264,656656.870700781
610724.495940901,504386.082469455
414066.775993284,562132.195743943
563128.784173568,434877.813939969
563436.781653018,558069.708944142
619219.923130133,497167.689605828
601816.505286385,446365.753552977
603589.196007746,486868.600569607
394650.57963365,568216.189465038
530613.881620347,564260.529460258
581924.905039986,595821.866910324
551013.678574126,566778.274842997
408941.992435722,577568.823475126
548420.230708172,527976.481937471
534933.235210537,603521.982849273
462588.333151359,735846.163674047
545004.514505941,425518.253718851
493446.773363473,416584.80930377
471836.585160736,649985.251690431
512081.4323772,612338.985920331
563687.515919839,485205.075670811
585843.955873276,496340.395118341
502886.956924047,750574.170851693
427568.299060261,610552.518617553
574598.842621628,551664.917029517
609789.035865312,461317.728179715
469894.802495466,708191.735810173
497390.269075128,702651.040621738
578471.339018254,433344.775743523
547605.656016266,546531.947207776
614364.774971089,473084.80455109
513962.071540127,453837.939775126
524946.54473361,603128.562363325
431246.494295631,644764.618334954
615266.974372345,485291.906448158
552001.99816809,473597.69497682
521730.937287145,431434.997225619
510676.190890267,399578.213619402
488201.555608521,623397.67044982
422491.307151348,631555.765500045
598578.354822014,531859.108877631
543791.926618076,624097.808855829
402869.131638422,556325.164299596
500875.104599388,392846.643257587
403585.191234104,620167.72145212
524887.567859938,706344.808341141
617921.833577841,511159.652605369
568409.807387083,592102.310898257
512121.751930279,440936.739577723
570855.986542144,519127.645428896
557938.588338996,519109.537663356
522855.924181082,542236.588092265
517178.197421632,571856.343108548
559433.010818482,499116.980273114
550111.065193672,413767.691634699
401599.273580679,538264.062709994
561972.358377856,414792.025056202
499606.041334059,407686.924356972
579895.339477563,526421.655657521
521327.778346712,470427.208047718
