"coords.x1","coords.x2"
426982.24068721,447045.068218908
469964.890262441,502812.267248565
537673.855320265,492033.427295485
529218.61139623,482020.766765821
477969.602805161,453652.672930195
490069.446148956,463421.4472587
484764.156917634,510268.890598096
494840.544597357,552569.914677346
472749.403968911,398804.560846306
479342.55611421,406625.876645536
483452.975933012,384168.248073297
499731.496211435,544377.217917024
455503.036574852,395145.227605393
442244.073737263,391049.818827011
433672.312596947,429764.877039692
580338.669289795,435455.600890289
551556.205330914,518068.388237163
513944.449021063,522029.250934643
475289.448029781,518340.148189108
502902.812671,479630.822563632
504738.780284851,464890.688897599
501730.943278652,489958.954542846
515799.362206481,474111.411121089
423502.421456654,410514.191213274
517788.555141938,486821.346334299
482649.032551414,529395.265464597
455043.373446554,529412.620709759
444760.538859402,426572.287756635
473459.878985323,545986.84413104
480791.238582445,463054.745070158
436513.380343987,417011.94687859
469744.389320182,479646.929870906
473402.643102475,426198.024263334
460024.132921757,448296.154067663
442444.18779285,438507.48263062
466369.383690785,649390.331802731
443392.433338507,457174.800888313
434747.441701601,483364.618545049
442103.786612174,472297.605257529
459340.694608814,498969.463089425
508285.73459756,548773.808822787
443921.608134631,448335.903983775
453101.450042145,404095.07304161
563998.312395253,526419.318625296
458645.880064904,418834.920472118
480783.435102695,440938.907126394
456626.644081282,467558.591492677
459517.290292121,512417.566253934
465755.735536142,435535.690906988
453125.436703861,433583.205681319
463227.432548277,486709.169090536
471567.199317376,442785.781990413
