"coords.x1","coords.x2"
537946.635920128,404084.496862734
390420.693573085,592050.303129857
494793.396678345,647359.021900038
473459.878985323,545986.84413104
466106.24111421,558896.640855009
558624.778871144,448951.040656996
620010.70392728,532513.466265452
545591.119812443,687166.76795691
546450.026757104,675902.556458151
530420.178487679,630694.498128174
525114.786953837,587435.935340521
483724.587065004,559289.836598082
475422.35575138,529329.813557808
454063.510825966,523595.367401928
412412.26060606,454716.398281589
572262.869727089,566940.500910284
599328.082728626,580576.438387371
568484.479119563,606259.305985896
439678.890596604,642815.888587377
401430.406174941,719969.215734844
443751.942782158,687671.14911939
580491.346031122,604404.699647728
450279.776221138,634995.817815744
492029.280516526,531015.290802465
476503.172017405,518920.391095527
519822.4133385,400416.206654743
530471.711998005,413333.956181172
394256.861167679,579996.80620754
473297.667249477,623761.637218703
499636.167452102,657361.507206952
423748.629002451,731895.988929656
422706.646439929,799166.23585887
437000.350100424,809619.148454799
618226.44936535,524560.316360665
440417.36314812,601317.927092903
582570.061781402,555893.421844972
405518.678488121,591527.70336899
515762.048579407,593909.110363315
515762.048579407,593909.110363315
457002.682440456,649221.146323341
449598.141527278,458715.665366307
440130.4426283,446447.348283043
508459.055168896,584055.906060051
530061.877156801,453029.390051891
473498.028358262,606816.014423779
473498.028358262,606816.014423779
541388.607448844,417435.267099899
517875.079137369,414011.786609486
604606.457555524,533686.366721959
612713.139997108,544598.794909947
596776.212057199,522119.589563824
596776.212057199,522119.589563824
486355.810346381,593908.604176771
403640.443377353,569816.151980397
474738.415300115,429327.783472294
490719.513936363,386551.634397295
539053.62792311,594045.639560933
535993.009602361,575489.227632863
535993.009602361,575489.227632863
465049.808576525,519277.008727618
503920.084846024,454963.395576336
471166.143353376,436787.390732072
482154.879088924,509616.975217074
501059.090838372,581004.947122946
443039.212275286,483521.565889637
545843.841387374,536078.738043281
432211.446064173,421074.361019533
400359.381779365,637764.012607871
510809.565038196,422613.694644177
576027.261923374,481201.95597598
384193.497936385,622538.916021794
534933.235210537,603521.982849273
475498.334878843,490114.73430868
489055.938788419,521122.219172484
450444.05076643,614021.792983616
469845.853511714,639994.582265792
524887.567859938,706344.808341141
429628.695260726,404627.092413433
463188.751875811,528795.60332837
597413.846322953,509556.05217269
484806.171400049,397531.578551079
464293.880464496,584704.996127936
519529.164245347,448663.933154963
542287.586379734,461850.979018727
539770.870683491,444635.299970853
576816.327258024,513663.657336925
425416.087618114,466954.744343368
417506.013593564,430693.048583784
541561.95511359,453868.002204058
477749.173103342,454050.092146174
457926.185299583,447442.257837473
495545.401141685,595749.874171447
442444.18779285,438507.48263062
475011.496365081,395662.183707274
