"coords.x1","coords.x2"
403927.81976893,719350.812961255
574877.75005168,432080.827181435
548321.805335778,408435.788753665
551188.447208368,412020.868702626
550569.0270394,416820.341045284
562082.059172315,414753.896347862
581331.357909039,429556.867905277
595642.40990243,449402.806668485
609533.840564343,459098.712773305
610420.655513922,473729.964134619
394796.354697368,637194.961251875
394513.761152724,730447.358274454
613205.374277394,470989.979822635
615159.995778244,483398.424839098
383501.657687587,615742.765531949
385212.40864197,634704.365843455
398581.79046783,728232.710932687
472746.726653153,717953.812272056
396601.263594818,614622.84626746
501417.369597351,748921.863595021
419136.153436034,716767.738219235
426102.295455464,719167.365724505
438430.16771474,776573.614323644
395446.502978415,601040.802617012
410065.759657955,799384.190342291
385180.984978718,731302.852164274
414614.709597522,788142.153864743
492050.519670413,756737.522399287
424612.614701638,725340.085539714
417794.559640282,794273.79655038
383162.964167684,779113.905174112
398298.587722568,788669.93498696
611190.57620299,467502.327923715
565650.844679243,415854.854433022
505724.622762487,747932.449477713
401563.944476871,647802.881434389
408895.396701184,671793.217880295
410406.529757013,682873.381711771
409566.218554773,693388.46923887
413009.125407855,670536.963722364
457981.132851269,763494.521063758
580338.669289795,435455.600890289
467819.9381242,768884.001267343
414795.839072431,656649.460656633
617258.84159239,512032.378968706
401770.693565941,793133.261654532
423926.76034548,732243.443663966
617891.123794634,541784.471278921
445816.633959701,793383.661611899
389369.179138683,787104.489130206
390217.091678472,794820.913630259
423713.705869216,791751.299431888
429496.523100486,794128.995305222
414859.682573316,751910.907273841
415237.972144341,797391.243052751
408544.774754385,712872.559801446
425329.758013124,810352.338531739
