"coords.x1","coords.x2"
528731.692668632,402240.135178813
399778.047938615,503691.260351678
469730.873515966,455687.772581278
473459.878985323,545986.84413104
480789.263410299,457518.360175253
478962.53644457,498072.505600807
517961.428685066,436053.611811739
505641.38325045,435554.896557921
429091.574708779,582348.436481998
476556.890313635,529263.048492315
421762.299686782,418871.544129948
550591.989633624,673190.323703399
488175.762061,522029.014671718
466206.035780146,680546.192854706
488166.153239323,481482.646899685
504744.128067565,490696.489728738
436491.558286646,396738.620525859
416791.749606664,435459.155757501
400433.911769083,489318.264129651
507842.547655921,479896.682171971
442784.830119292,558799.694689272
618226.44936535,524560.316360665
509396.781485155,448956.718081775
440417.36314812,601317.927092903
405518.678488121,591527.70336899
515762.048579407,593909.110363315
515762.048579407,593909.110363315
514124.251826858,408169.865062589
457002.682440456,649221.146323341
436021.879051363,408582.649026995
530061.877156801,453029.390051891
473498.028358262,606816.014423779
473498.028358262,606816.014423779
447616.45503922,487859.341869407
437241.273115727,419038.799707821
596776.212057199,522119.589563824
596776.212057199,522119.589563824
487191.69939167,401375.322743333
539053.62792311,594045.639560933
535993.009602361,575489.227632863
535993.009602361,575489.227632863
501059.090838372,581004.947122946
400359.381779365,637764.012607871
510809.565038196,422613.694644177
418505.610248657,489418.259285633
576027.261923374,481201.95597598
469845.853511714,639994.582265792
524887.567859938,706344.808341141
583920.686001373,503664.782878746
597413.846322953,509556.05217269
464293.880464496,584704.996127936
519529.164245347,448663.933154963
539770.870683491,444635.299970853
457926.185299583,447442.257837473
442444.18779285,438507.48263062
504737.343682645,566260.658620422
563128.784173568,434877.813939969
479735.32429741,387602.08102316
480850.742364481,614184.630457854
563436.781653018,558069.708944142
619219.923130133,497167.689605828
417371.683177923,471934.314390122
457596.39382392,538439.943569027
598734.333198819,459453.47940586
602444.19656716,446557.781184432
462117.91514925,572137.386907418
603589.196007746,486868.600569607
486352.5064976,582850.115406257
486352.5064976,582850.115406257
547092.975181852,503618.335730125
464302.441076151,595763.638980614
442486.151806269,472897.996922905
409386.576611544,510568.237999822
548420.230708172,527976.481937471
462588.333151359,735846.163674047
495537.230805134,390774.41213955
508285.73459756,548773.808822787
471836.585160736,649985.251690431
513918.062311195,614182.530881248
513918.062311195,614182.530881248
427726.842018808,526529.551288062
466124.428035629,385371.123179025
561845.453361492,485202.903726337
561845.453361492,485202.903726337
510239.832134296,632612.685136898
478068.549884318,407330.86864427
413769.677553763,445171.297606748
536003.189576334,530262.809102691
502886.956924047,750574.170851693
484509.227713771,568106.153535851
427568.299060261,610552.518617553
548865.497148862,573657.657789843
574598.842621628,551664.917029517
609789.035865312,461317.728179715
469894.802495466,708191.735810173
497390.269075128,702651.040621738
404439.92842081,468849.672619492
547605.656016266,546531.947207776
613452.028506757,472384.898439193
497383.828076076,604965.121143359
497383.828076076,604965.121143359
424036.735271177,511614.286779311
524946.54473361,603128.562363325
524946.54473361,603128.562363325
485350.850208961,418754.870617067
463993.166138501,549351.947303521
615266.974372345,485291.906448158
552001.99816809,473597.69497682
593035.867975707,553447.620314756
593035.867975707,553447.620314756
520054.043686944,522716.771134576
569151.865278149,531290.029161438
569151.865278149,531290.029161438
458800.580495824,608670.071983766
458800.580495824,608670.071983766
488201.555608521,623397.67044982
488201.555608521,623397.67044982
488201.555608521,623397.67044982
438239.530161609,504639.873570338
459517.290292121,512417.566253934
422491.307151348,631555.765500045
497383.828076076,604965.121143359
497383.828076076,604965.121143359
569289.568320316,424390.05230996
543791.926618076,624097.808855829
402869.131638422,556325.164299596
424410.167814863,408549.465474738
403585.191234104,620167.72145212
617921.833577841,511159.652605369
568409.807387083,592102.310898257
439487.872060525,523650.946330411
596987.964723976,537809.787184602
570855.986542144,519127.645428896
536010.856853862,551529.166060347
557938.588338996,519109.537663356
522855.924181082,542236.588092265
431164.337723036,624205.422106836
523123.449570938,573638.249853966
536067.451309228,470434.948835403
401599.273580679,538264.062709994
561972.358377856,414792.025056202
431246.494295631,644764.618334954
414795.853760264,656656.870700781
414795.853760264,656656.870700781
552696.437167766,420686.469263316
434487.934549336,429164.673798712
453324.882330596,400557.558988137
579895.339477563,526421.655657521
578471.339018254,433344.775743523
514891.704481767,676121.033918425
431864.70223488,448880.231189494
488545.44260285,469392.039268249
476295.294356898,427203.336258093
442444.18779285,438507.48263062
459331.274781761,498933.641645906
492458.765050942,442322.822980934
443392.433338507,457174.800888313
451691.221309078,430882.586014141
442486.151806269,472897.996922905
539280.114583642,492320.804291972
472493.669187476,506066.974846379
471844.391418626,488618.207602655
459544.009070662,418799.892125366
482590.866544577,440633.000152779
493152.670676024,505979.131500812
501059.778179279,538614.711116784
503493.909061088,468483.545158711
456626.644081282,467558.591492677
497380.994194778,558888.271112987
459517.290292121,512417.566253934
465755.735536142,435535.690906988
446246.392484079,391242.617421367
