"coords.x1","coords.x2"
493192.173735889,539785.582491237
488543.355878821,556948.056300072
529061.500275299,494861.494516538
470604.129118535,649136.878594129
455969.331999959,644268.862441039
481314.685330958,569138.745609967
470533.264110235,640922.596216562
451949.834232597,492796.456297088
481810.117821837,516344.280122657
457398.528612935,460510.916326304
445621.729767262,484554.503073512
437911.195222056,504021.858558757
491041.922986334,506218.922219838
422386.774021116,457747.304274575
448885.190457872,504035.980338959
418133.356832982,441413.083437308
445764.09014422,554483.942027416
449188.090114605,564743.258357646
409107.355540066,620401.313080754
459032.899127242,561767.688271959
480295.901645272,614996.810328595
468643.109903658,555571.601726147
517043.626210494,610252.986967105
494827.123547849,606145.983083088
487555.553307258,578600.729813178
506252.326248047,528505.246414978
465580.081874778,412037.183402635
396927.631795821,614510.808660855
500015.892934437,613915.889167908
445965.065885797,408465.717734534
442359.704969549,392841.661699877
452639.950861353,389998.820425575
435726.985250474,399916.963045513
565433.205395575,491259.245725523
553415.08124444,475973.256221512
509509.880780553,563135.516348205
521320.373095762,470423.556026829
580338.669289795,435455.600890289
444971.261138852,425868.946522877
469730.873515966,455687.772581278
504738.780284851,464890.688897599
480765.530100863,387489.283613187
431215.93740856,437929.479893058
473422.217160987,474108.506190029
460599.104444434,571806.210458978
455043.373446554,529412.620709759
609630.771850452,533205.652563307
488149.809550686,405920.497496786
482677.969645815,588380.596690536
466006.597070903,391185.483256978
486364.818421115,623390.793693813
490001.400172241,464891.490177731
480791.238582445,463054.745070158
436515.403614726,418855.030296662
464183.027820472,426203.087862328
474990.610166821,428238.471485765
497380.443158063,549673.052038207
568685.446721069,513349.545953849
558302.026102686,524057.474989788
432891.476832718,472308.345765002
460024.132921757,448296.154067663
442444.18779285,438507.48263062
566192.022127937,521144.23581416
492458.765050942,442322.822980934
506579.818503963,538615.105311794
429233.543006644,492587.26903915
417371.683177923,471934.314390122
448606.763494824,399659.351310098
443392.433338507,457174.800888313
451691.221309078,430882.586014141
467908.969461831,490706.160312271
442486.151806269,472897.996922905
459340.694608814,498969.463089425
508285.73459756,548773.808822787
443921.608134631,448335.903983775
539280.114583642,492320.804291972
469760.516535479,507292.335855192
459544.009070662,418799.892125366
466054.241767158,470433.996796415
497381.216084045,562574.457006316
482590.866544577,440633.000152779
459517.290292121,512417.566253934
442148.769837595,512845.424031262
506579.818503963,538615.105311794
487815.351901222,533472.978200464
471567.199317376,442785.781990413
462377.047808315,481494.616865908
461370.040727251,435356.078850382
