"","coords.x1","coords.x2"
"1",484880.940585829,530894.196218276
"2",483468.277983146,532058.64816665
"3",481766.783880943,533175.504170894
"4",484418.089628624,529801.354515856
"5",485421.932513083,532864.851254441
"6",480390.139613392,532876.891561476
"7",483324.035209244,529634.125438317
"8",481039.64600683,530607.48644462
"9",479049.588182159,532739.680817316
"10",480252.19615896,529526.632671159
"11",480895.092528123,528566.301038628
"12",481570.308879556,527803.176608072
"13",480585.753602958,523630.819768461
"14",487728.910266634,529668.045420102
"15",479989.524571562,526239.689412113
"16",479275.424473551,517999.659363368
"17",477656.712237848,518133.330162401
"18",482049.982320149,520449.915335022
"19",426982.24068721,447045.068218908
"20",454104.89340557,430555.167679223
"21",447748.950579709,433820.368856019
"22",467192.780198691,430024.038318852
"23",460206.802152944,437054.486210057
"24",463791.415165523,412627.766375867
"25",432114.740264221,421171.227140243
"26",471581.211285943,504711.43538562
"27",466367.766650725,508825.32495648
"28",472642.776938463,502909.36931301
"29",469964.890262441,502812.267248565
"30",465468.858306452,498804.240551499
"31",461129.59619769,496406.900836677
"32",461708.020402733,498689.118358096
"33",463683.954473014,498304.641694132
"34",537673.855320265,492033.427295485
"35",524735.220440769,480645.588756635
"36",520542.559705866,478852.954068634
"37",529218.61139623,482020.766765821
"38",477969.602805161,453652.672930195
"39",492340.972926987,463038.437203169
"40",493533.848449693,463453.792356434
"41",492295.093794697,461572.579917152
"42",490069.446148956,463421.4472587
"43",485025.12710636,512147.793832557
"44",486872.722587673,511994.284936624
"45",482724.548679341,512532.824765163
"46",484764.156917634,510268.890598096
"47",514827.497893883,488791.133977916
"48",516830.263826565,488714.012786788
"49",513534.075558846,483057.384770839
"50",514727.744355524,481075.984462272
"51",452245.563110737,389806.912610174
"52",446544.382944244,393421.781452913
"53",505243.924218314,491734.406090327
"54",507883.56488953,547731.749775709
"55",492922.609196443,555352.26318973
"56",496772.984849706,544839.806883613
"57",494840.544597357,552569.914677346
"58",444714.519232334,427483.280323097
"59",443099.018378077,426249.411224882
"60",439750.509070454,425553.413692496
"61",430577.341563845,421593.859666923
"62",442067.985323589,460301.875058508
"63",461212.836220603,409561.791738667
"64",460851.962615587,406650.354640805
"65",458007.676756594,423648.173827222
"66",454603.31371632,421956.22459158
"67",472749.403968911,398804.560846306
"68",466335.30299893,400373.165083993
"69",462013.319626091,396537.485400331
"70",478863.711419142,408652.822773227
"71",479342.55611421,406625.876645536
"72",482210.163581611,385309.040805495
"73",483452.975933012,384168.248073297
"74",499731.496211435,544377.217917024
"75",471619.363382926,430727.764132001
"76",480461.805177614,432357.602589894
"77",455503.036574852,395145.227605393
"78",454826.537338327,416960.454085789
"79",452230.294282585,405072.075946383
"80",454735.439302238,405699.672269349
"81",441847.166777042,391989.792265969
"82",442244.073737263,391049.818827011
"83",447542.896859208,426372.275316047
"84",447722.806164674,418774.747837046
"85",433752.206780891,423839.299189296
"86",433672.312596947,429764.877039692
"87",463047.686984923,487816.712743383
"88",463416.305705641,486425.352794444
"89",564149.171610231,516310.544715285
"90",580338.669289795,435455.600890289
"91",551556.205330914,518068.388237163
"92",513611.611197161,542713.233922037
"93",513259.89412812,543365.82375499
"94",513944.449021063,522029.250934643
"95",441536.719424328,414348.198370196
"96",475289.448029781,518340.148189108
"97",470692.886964002,434798.758533897
"98",502902.812671,479630.822563632
"99",504738.780284851,464890.688897599
"100",473422.217160987,474108.506190029
"101",501730.943278652,489958.954542846
"102",515799.362206481,474111.411121089
"103",423502.421456654,410514.191213274
"104",478976.421772213,531247.07437202
"105",517788.555141938,486821.346334299
"106",482649.032551414,529395.265464597
"107",455043.373446554,529412.620709759
"108",565485.470415779,520226.327733278
"109",444760.538859402,426572.287756635
"110",473459.878985323,545986.84413104
"111",445764.790306807,448334.067262053
"112",438385.684896595,442812.603148191
"113",480791.238582445,463054.745070158
"114",455004.019789271,475971.25460517
"115",436513.380343987,417011.94687859
"116",469744.389320182,479646.929870906
"117",464527.687759117,427489.021424705
"118",464183.027820472,426203.087862328
"119",474990.610166821,428238.471485765
"120",473402.643102475,426198.024263334
"121",459626.001132205,481567.311085979
"122",443934.793040614,461237.294747234
"123",442091.9264852,461239.225612579
"124",463068.783439266,469168.048092393
"125",462369.221564263,470436.460220893
"126",462370.518080003,472279.520039135
"127",460024.132921757,448296.154067663
"128",471565.314254349,439099.84082453
"129",440221.207757924,435438.472690755
"130",442444.18779285,438507.48263062
"131",466369.383690785,649390.331802731
"132",451831.105508221,417139.706552633
"133",453068.781747397,417412.485159174
"134",454956.106866946,416994.64804804
"135",466032.540615032,435416.981352028
"136",460578.854296748,438290.10061771
"137",458657.932877614,435421.922976455
"138",449454.739210783,452016.71889829
"139",443392.433338507,457174.800888313
"140",458285.976979447,475094.098379226
"141",434747.441701601,483364.618545049
"142",451691.221309078,430882.586014141
"143",462341.496963492,429890.340471837
"144",460504.85529585,436250.278660135
"145",442486.151806269,472897.996922905
"146",442103.786612174,472297.605257529
