V1,V2,V3
615.000000,41.903328,27.511333
762.000000,37.903011,27.822666
835.000000,34.859268,26.811333
808.000000,34.785831,27.228666
821.000000,34.124798,27.020000
840.000000,33.241493,26.636667
797.000000,33.370594,26.944668
992.000000,33.398952,27.128666
675.000000,34.227722,27.324001
632.000000,35.334267,27.473333
772.000000,63.552101,25.336000
605.000000,33.025738,25.576000
644.000000,33.493908,27.467333
592.000000,33.459866,25.031334
527.000000,35.322350,24.304001
605.000000,33.106831,25.429333
505.000000,35.258385,23.514000
501.000000,35.407238,23.758667
476.000000,39.990707,24.312000
357.000000,39.028633,19.390667
359.000000,41.848171,20.150667
694.000000,40.794262,26.271999
803.000000,34.301617,27.146000
1143.000000,35.679653,27.204666
1132.000000,35.184673,27.126667
865.000000,37.429913,26.328667
521.000000,53.724995,21.917334
369.000000,30.991352,15.568666
498.000000,38.697056,25.419333
463.000000,28.115341,17.540001
461.000000,42.647938,25.367334
503.000000,34.518597,22.430000
357.000000,42.512852,19.691999
612.000000,32.951927,25.490000
591.000000,33.832909,24.480667
591.000000,33.972904,24.986000
647.000000,33.857117,27.546001
1155.000000,35.587307,27.082001
637.000000,36.661449,27.485416
791.000000,39.181629,27.473333
1173.000000,38.975807,27.614666
1168.000000,37.575211,27.360001
1148.000000,36.849812,27.313334
843.000000,38.864574,26.567333
1220.000000,38.148029,26.930666
466.000000,43.629696,21.086000
540.000000,47.495071,22.217333
438.000000,40.866817,21.385334
433.000000,26.957138,17.792000
950.000000,66.614914,22.567333
750.000000,35.936047,27.504667
777.000000,36.498299,27.518000
640.000000,37.394432,27.666666
1188.000000,37.443962,27.086666
1172.000000,37.077995,27.161333
1202.000000,38.958893,27.181334
529.000000,42.221096,21.993334
445.000000,35.940506,20.480000
483.000000,38.193188,21.032665
930.000000,69.750900,23.658001
677.000000,62.467331,27.130667
504.000000,33.220402,24.900667
914.000000,62.764576,22.819334
1015.000000,72.180580,21.213333
1015.000000,70.977867,22.733999
757.000000,73.803726,27.474667
775.000000,37.127937,27.451334
743.000000,36.646866,27.518000
776.000000,40.505600,27.094666
775.000000,37.689472,27.521999
507.000000,33.331997,25.012667
507.000000,32.796345,24.873333
842.000000,71.570267,28.028000
821.000000,71.495682,27.944000
796.000000,71.334923,27.881334
743.000000,37.867775,27.576000
855.000000,38.288017,25.046667
776.000000,41.668701,26.029999
639.000000,28.183275,22.218000
783.000000,37.221626,26.948668
448.000000,46.207912,23.582001
736.000000,41.554985,26.119333
473.000000,44.969028,25.177999
767.000000,32.954277,27.134666
749.000000,32.687675,27.047333
711.000000,32.977425,27.269333
823.000000,33.199619,26.582666
609.000000,33.187328,25.884666
608.000000,34.046928,25.343334
607.000000,33.887829,24.839333
669.000000,33.305290,27.206667
764.000000,40.352074,27.638666
536.000000,35.330650,27.478704
554.000000,34.802589,27.413334
628.000000,34.743458,27.422001
407.000000,36.285480,22.487333
546.000000,34.100739,25.092667
454.000000,37.363144,23.703333
575.000000,30.096842,24.084000
591.000000,27.402588,23.124001
771.000000,36.991188,25.473999
772.000000,39.041164,25.498667
765.000000,34.379665,25.044666
792.000000,34.350082,25.020666
737.000000,41.961788,26.291332
438.000000,41.172752,24.889334
791.000000,39.587620,26.626667
485.000000,44.953102,25.402000
857.000000,35.714497,26.341333
773.000000,37.156445,27.863333
612.000000,34.505695,25.152666
801.000000,33.356903,27.031334
833.000000,33.388428,26.750000
602.000000,58.338833,21.256001
688.000000,39.983688,27.622917
754.000000,34.238926,24.917999
746.000000,36.542900,25.357334
757.000000,33.077290,26.366667
598.000000,33.652565,25.351999
792.000000,33.756680,26.743334
