V1,V2,V3
67.476578,28.412666,10.903999
41.903328,27.511333,9.492001
41.148952,27.282667,9.260000
40.020275,26.978666,9.164000
34.785831,27.228666,8.320000
33.241493,26.636667,7.615999
33.370594,26.944668,7.496000
34.115292,27.368668,7.064001
35.334267,27.473333,6.392000
63.866180,28.350666,9.820002
72.607056,28.883999,11.563999
68.442337,29.220001,13.000002
68.381447,29.016001,12.920002
77.346611,29.478666,12.711998
63.552101,25.336000,11.256001
66.269615,28.737999,12.191999
74.715279,28.681999,12.712002
75.038261,28.867332,12.712000
59.118412,27.936001,10.007999
57.547634,27.840668,8.896000
48.493061,27.919333,7.796000
81.309723,28.866667,9.300001
87.280128,28.822224,9.213335
70.440018,28.620667,8.623999
67.449432,28.507246,8.439131
66.285240,28.479332,8.212000
63.733250,28.370239,8.021429
83.096344,28.799999,10.832003
81.096199,28.771999,11.492001
82.888733,29.213999,11.604000
73.386559,28.764000,13.039997
74.422806,28.915333,13.040001
33.246429,26.469999,7.800001
34.703743,26.846666,9.275999
33.459866,25.031334,9.216000
35.258385,23.514000,8.888000
86.176933,28.927999,11.896000
35.407238,23.758667,9.964001
39.990707,24.312000,10.124001
41.848171,20.150667,8.844000
40.794262,26.271999,9.660000
36.527283,25.752666,9.780001
71.674896,28.276667,11.124001
66.427612,28.122000,11.480001
76.278679,28.757999,11.731998
75.530952,28.502666,11.899998
73.725685,28.369333,11.516003
72.504639,28.453333,11.096001
73.307747,28.473999,11.663998
36.024025,27.506001,6.240000
34.646484,27.374666,7.007999
34.696785,27.327999,6.608000
38.518108,26.757334,8.408001
40.016071,27.545334,9.387999
41.819221,27.023333,8.876001
45.277443,28.091333,9.460001
46.730602,28.167334,9.496000
77.139969,28.703333,11.587997
74.893745,28.430668,10.928001
88.761978,30.028667,11.759998
91.569778,30.133333,11.766666
73.370407,29.218000,11.731998
68.736122,29.222666,12.524000
70.691414,29.050667,11.799999
58.467163,24.740667,11.120001
65.325600,28.156666,9.731998
38.697056,25.419333,9.971998
42.677071,25.944666,9.532000
66.937630,28.462666,12.016001
68.369377,28.042665,11.716000
64.829132,27.440666,11.692001
63.471722,26.180666,11.204000
72.767502,28.287333,12.116001
101.112801,29.699074,10.327780
73.551628,28.608334,8.280001
76.182907,29.526667,13.904001
71.906967,28.520000,12.028000
71.789116,28.258667,12.228003
77.797417,28.514814,9.299999
77.424576,28.596001,9.775999
88.370506,29.819048,11.976191
49.840107,28.013334,10.276001
42.512852,19.691999,8.656000
76.295769,28.705999,11.679998
76.493095,28.794666,11.648001
33.156208,27.325333,7.559999
33.127682,26.962000,7.939999
34.393757,27.472000,6.820000
35.090702,27.530666,6.420000
36.661449,27.485416,6.350000
35.005936,27.488001,7.448002
36.849812,27.313334,8.007999
39.888882,27.724001,9.292000
39.514683,27.669334,9.084000
41.783775,27.474667,8.931999
74.817970,28.511999,10.855999
83.500954,28.962002,11.355999
54.743073,25.072666,11.412001
69.431023,28.132000,9.996000
58.899982,28.012001,7.955999
68.709671,29.032667,12.119999
66.657921,28.993999,12.716000
66.990227,29.023333,12.539999
74.855057,28.832666,11.288000
71.928772,28.810667,11.515999
73.677208,28.846001,11.616001
68.384399,28.924667,11.624001
65.860176,28.849333,12.519999
64.748268,26.948666,11.927999
67.237938,27.645334,12.180000
66.863457,28.458668,10.792002
53.344677,27.951334,7.476002
59.150974,27.966667,8.403999
48.517181,27.259335,8.440001
41.680664,27.519697,6.190910
43.860249,27.662666,7.724001
49.472229,27.194000,9.043999
35.337349,25.198000,9.960001
72.140717,28.190666,12.375999
73.177155,28.264000,12.524000
73.250252,29.046667,12.320000
71.310692,20.567333,10.216000
64.396919,25.243999,10.636000
66.968025,28.150000,11.764000
80.608902,28.875334,10.616001
84.643799,28.897619,7.964285
76.344337,28.676666,9.980001
69.599548,27.660000,11.840000
71.668015,27.985332,12.200001
70.435089,27.842667,12.199999
73.692589,28.458000,12.035997
70.591530,28.122000,11.836000
76.148163,29.442667,13.752001
74.847389,28.556000,10.000002
70.552864,28.166666,12.348000
71.987450,28.694666,13.152000
71.404991,28.265999,12.135998
70.916046,28.270000,12.279999
71.350960,28.505333,12.700001
73.261909,27.779333,13.059999
72.095345,27.045334,11.851999
72.806335,27.969999,11.068001
67.918839,28.200001,7.784615
70.049324,28.125999,8.048000
71.567032,29.138000,13.916000
36.498299,27.518000,7.779999
36.229431,27.515333,7.100000
36.906273,27.507334,6.779999
40.099285,27.806667,9.136000
40.787689,27.701332,9.096001
41.394989,27.464666,8.855999
44.437344,27.658667,9.024000
37.033726,27.602667,8.007999
38.274429,27.509333,8.080002
74.084320,28.454666,10.580002
72.552223,28.397333,10.628000
77.996880,28.692001,10.403999
78.968124,28.681334,11.184002
59.133492,27.807333,10.164000
54.381592,27.954666,8.328001
75.259460,29.382668,12.480001
74.494225,28.434666,10.803999
75.488953,28.931334,12.172001
62.467331,27.130667,12.115999
39.092896,27.410000,6.224001
39.852364,27.524000,6.652000
42.916344,27.333334,7.596001
41.804237,26.120667,8.504000
70.931793,27.854000,11.643999
73.501762,28.855333,12.172001
49.002583,25.434668,11.020000
53.294594,24.423332,10.864000
62.764576,22.819334,10.608000
73.310944,28.599998,9.899998
73.159340,28.648485,9.531818
71.251801,27.279333,12.264002
70.927162,28.092667,12.780001
71.181686,26.336000,11.032001
70.989510,27.850666,12.539999
79.994453,29.602001,13.800001
83.071213,29.866667,13.708000
69.414246,28.124668,8.444000
67.715256,28.223333,8.532000
71.196602,28.066666,8.596001
72.753029,28.275333,11.603998
72.315552,27.908001,11.551998
73.803726,27.474667,12.908001
74.089439,28.197334,12.780001
71.671745,28.740000,13.243998
72.882889,28.432667,13.007999
71.702156,29.224667,13.080002
70.820381,28.722668,12.528000
111.879082,30.028030,11.095455
36.717545,27.418667,7.384001
36.713154,27.558001,7.232000
42.455482,27.436666,8.875999
