X,Y
337,544
337,557
337,558
337,568
337,579
337,581
337,582
337,585
337,587
354,582
354,574
354,547
354,550
354,535
349,553
349,545
349,535
349,536
349,575
349,580
349,585
324,539
324,534
324,546
324,549
324,550
324,553
370,571
370,566
370,556
366,564
366,566
341,581
341,572
341,577
341,578
341,518
341,562
341,563
341,569
341,554
341,559
341,540
341,544
341,531
341,533
341,537
341,539
341,538
336,587
336,585
336,586
336,572
336,562
336,566
336,556
336,555
336,534
336,539
353,519
353,517
353,541
353,545
353,543
353,570
353,581
348,571
348,573
348,545
348,544
348,549
348,551
348,540
348,509
323,544
365,551
365,558
365,563
365,579
365,578
365,541
340,551
340,568
340,532
340,531
340,583
340,581
340,587
340,588
335,587
335,583
335,577
335,564
335,567
335,560
335,540
335,523
352,570
352,578
352,583
352,554
352,547
352,546
351,539
351,541
351,540
351,543
351,548
351,559
351,555
351,575
351,585
351,582
347,580
347,587
347,584
347,578
347,571
347,541
347,539
347,529
347,553
347,550
347,546
347,520
322,537
364,578
364,561
364,563
364,562
364,568
364,558
363,549
363,578
363,560
363,552
363,558
363,559
363,555
359,559
359,566
359,570
359,583
359,581
359,549
334,580
334,585
334,586
334,565
334,563
334,562
334,558
334,579
334,575
334,541
334,542
334,536
334,532
350,573
350,583
350,525
350,539
350,536
350,559
346,587
346,586
346,582
346,577
346,543
346,531
346,556
346,555
346,554
362,580
362,581
362,557
362,559
362,566
362,561
362,544
362,540
358,581
358,582
358,580
358,570
358,569
358,560
358,557
358,553
358,555
358,547
358,549
333,496
333,581
333,583
333,562
333,564
333,568
333,579
333,570
333,571
333,572
333,538
333,556
333,558
333,550
333,536
329,498
329,499
329,530
329,529
329,576
329,579
329,564
329,565
329,566
329,570
329,561
345,541
345,537
345,538
345,554
345,557
345,559
345,575
345,576
345,578
345,588
345,582
345,581
361,578
361,570
361,581
361,582
361,558
361,559
361,557
361,551
361,569
357,548
357,556
357,553
357,537
357,525
357,523
357,583
357,580
357,563
332,583
332,584
332,581
332,556
332,557
332,546
332,579
332,572
332,570
332,565
332,564
332,568
332,560
332,532
332,537
332,535
328,570
328,573
328,566
328,569
328,575
328,550
328,561
327,570
327,544
327,547
327,554
327,564
327,561
373,558
373,556
373,561
373,564
369,566
369,565
369,563
369,558
369,556
369,546
369,572
369,575
344,586
344,585
344,581
344,543
344,546
344,549
344,551
344,557
344,556
339,512
339,548
339,543
339,545
339,557
339,558
339,559
339,553
339,571
339,564
339,566
339,577
339,578
360,568
360,569
360,564
360,567
360,561
360,558
360,559
360,582
360,580
360,575
360,577
360,570
356,581
356,576
356,572
356,573
356,543
331,539
331,540
331,575
331,577
331,578
331,571
331,573
331,564
331,566
331,560
331,535
331,537
331,534
326,563
326,560
326,559
326,555
326,551
326,548
326,570
326,567
326,569
326,568
326,516
326,537
326,539
372,554
372,567
372,569
372,570
368,557
368,559
368,565
368,561
368,553
368,555
368,571
343,585
343,588
343,584
343,561
343,557
343,558
343,546
343,544
343,539
343,538
338,531
338,541
338,540
338,556
338,555
338,564
338,561
338,569
338,567
338,575
338,571
338,576
338,585
338,587
355,547
355,541
355,557
355,552
355,584
355,576
355,570
330,554
330,552
330,553
330,513
330,534
330,535
330,499
330,582
330,580
325,534
325,540
325,533
325,558
325,557
325,563
325,553
371,572
371,571
371,563
371,556
367,552
342,566
342,561
342,560
342,559
342,557
342,556
342,589
342,586
342,584
342,579
342,573
342,572
