V1,V2,V3
121.000000,30.047222,6.159722
34.000000,30.113333,5.471666
115.000000,28.847332,6.237333
47.000000,28.822224,5.796667
84.000000,28.972666,7.280333
118.000000,29.699074,5.656482
120.000000,29.958000,6.202333
54.000000,29.923809,4.840476
60.000000,29.750000,4.855555
37.000000,28.514814,6.479630
39.000000,28.596001,6.669000
84.000000,30.226667,6.773333
77.000000,30.050667,6.087000
118.000000,29.580000,5.748667
46.000000,30.061905,5.229763
34.000000,29.932222,5.188889
43.000000,29.081944,5.329861
49.000000,29.056349,5.407540
66.000000,28.909166,5.395417
44.000000,28.556000,6.922667
62.000000,29.912037,5.796759
47.000000,29.867460,5.034127
74.000000,28.223333,6.545667
78.000000,28.210833,5.965416
69.000000,29.770666,5.584667
58.000000,28.312666,6.505333
39.000000,29.559334,5.523001
63.000000,29.674999,5.345833
113.000000,29.535999,6.220667
55.000000,28.486666,6.745333
55.000000,28.296154,6.250640
84.000000,28.243519,6.038889
67.000000,29.893055,5.550000
37.000000,28.797333,6.095000
36.000000,28.749332,5.930666
40.000000,29.333334,4.855556
39.000000,29.329166,4.847917
57.000000,29.847221,5.005555
31.000000,28.944445,5.288888
32.000000,28.844667,5.693000
35.000000,29.498245,5.498245
35.000000,29.525757,5.243939
63.000000,29.911112,5.341667
91.000000,29.190477,6.244048
89.000000,29.718887,7.038333
46.000000,29.362667,5.885000
48.000000,29.153334,5.884667
80.000000,29.910606,5.780303
35.000000,29.565624,4.777605
60.000000,30.403622,5.989855
41.000000,28.679333,6.193000
64.000000,29.261333,7.020000
55.000000,29.032408,6.744907
50.000000,28.971428,6.546429
43.000000,28.597334,6.702666
78.000000,29.841999,6.540667
64.000000,29.823076,5.500000
40.000000,29.433332,5.020000
35.000000,29.738890,5.118254
53.000000,30.086111,5.077778
79.000000,28.751333,6.259667
44.000000,28.797619,6.406548
48.000000,28.926315,6.516228
59.000000,29.000000,6.947334
