"","coords.x1","coords.x2"
"1",491865.185372845,569943.630207273
"2",478976.421772213,531247.07437202
"3",490001.400172241,464891.490177731
"4",462365.570897098,470432.81359996
"5",459955.499224611,499307.587136235
"6",470692.886964002,434798.758533897
"7",465976.644779965,446589.229608365
"8",443914.194539335,448332.26225912
"9",501730.943278652,489958.954542846
"10",470692.886964002,434798.758533897
"11",482618.928075255,415136.652364921
"12",482655.784278563,527559.596552429
"13",528731.692668632,402240.135178813
"14",501730.943278652,489958.954542846
"15",502899.535003033,544143.89872976
"16",421853.498278983,488911.535397488
"17",565485.470415779,520226.327733278
"18",432898.011269518,483366.934805979
"19",471239.825837213,422690.083762534
"20",582183.001335004,429928.866303377
"21",399778.047938615,503691.260351678
"22",521320.373095762,470423.556026829
"23",432898.011269518,483366.934805979
"24",469730.873515966,455687.772581278
"25",420165.305113859,422340.303405861
"26",504738.780284851,464890.688897599
"27",470692.886964002,434798.758533897
"28",470692.886964002,434798.758533897
"29",414795.839072431,656649.460656633
"30",463510.973756617,447541.792674152
"31",609630.771850452,533205.652563307
"32",462365.570897098,470432.81359996
"33",473459.878985323,545986.84413104
"34",473422.217160987,474108.506190029
"35",497382.564562458,584683.840038122
"36",453139.37146839,450170.392625265
"37",486364.818421115,623390.793693813
"38",482649.032551414,529395.265464597
"39",455043.373446554,529412.620709759
"40",459955.499224611,499307.587136235
"41",478972.776427333,531243.426702136
"42",458649.866471166,424363.910693977
"43",482677.969645815,588380.596690536
"44",480789.263410299,457518.360175253
"45",427359.024801314,468629.36512209
"46",423738.141826042,512869.699575928
"47",451256.754865098,404096.570765809
"48",565485.470415779,520226.327733278
"49",403410.904512026,472353.30120574
"50",456846.244888922,475969.729266387
"51",518327.95763786,523049.596690135
"52",478962.53644457,498072.505600807
"53",401581.61152765,481569.028811056
"54",536153.926853015,470032.111184065
"55",510739.754571526,462136.40331365
"56",530454.726325654,459355.905351607
"57",519377.630289907,448992.288587521
"58",519942.476393821,455372.584542427
"59",524716.59450464,441046.869645403
"60",520305.300858224,432479.48801211
"61",537917.239658364,447424.099595413
"62",540240.185794723,442520.851146383
"63",546478.700180671,427768.659332655
"64",517961.428685066,436053.611811739
"65",510963.961293567,446296.348020293
"66",507615.390664992,424050.537030924
"67",505641.38325045,435554.896557921
"68",481236.452740019,406170.477093818
"69",487030.298683198,397946.192717716
"70",481919.932494703,405133.899959364
"71",450028.210515266,395364.87908417
"72",465844.38829703,389895.087588927
"73",435486.802780731,408904.814334977
"74",449358.209296654,399308.721989899
"75",432047.215735658,421238.77314602
"76",439221.398642952,426411.668599447
"77",426914.720097999,446943.692248687
"78",426289.984339715,441050.739344875
"79",434087.767210072,460850.960662226
"80",435432.039679793,456979.544532174
"81",443616.805490117,483121.559694408
"82",446267.719195506,466728.339172186
"83",456138.607052672,467558.540833737
"84",457742.732180675,465308.205145162
"85",454136.278101756,480286.023103541
"86",440897.816884201,471570.694424674
"87",463388.217089258,496510.191041022
"88",454944.72368073,497317.020421374
"89",465658.615868989,491862.821936882
"90",443020.139917051,505395.19907526
"91",430414.484375195,509304.153846053
"92",453596.072217763,508559.066567999
"93",452844.097031196,527809.928052453
"94",453160.676879965,526132.703701105
"95",453732.643213478,526058.930420741
"96",455856.323480384,526736.829371514
"97",455237.622062018,529824.106962988
"98",459262.369801749,530099.78862148
"99",446969.854625057,536177.424167302
"100",407997.119157139,616565.330174289
"101",459113.348565743,586083.851369931
"102",429091.574708779,582348.436481998
"103",496693.712194657,597701.447322872
"104",487136.175707871,598276.187438824
"105",495296.298504008,599462.003174934
"106",486535.833525202,594410.726723216
"107",489407.065872367,599984.967011311
"108",471269.553632011,607580.745397621
"109",498983.404474884,606862.917513151
"110",501309.649111843,604890.092763924
"111",516092.404905838,582812.679812363
"112",501586.887270516,549343.265704499
"113",483694.407876058,551671.407676906
"114",495358.902699702,551425.229428996
"115",489788.401978896,558794.542166503
"116",485418.148732758,530467.81567297
"117",488994.137793871,533710.996317275
"118",482781.652409633,527774.743033586
"119",480055.752203153,532398.988758367
"120",479390.845200524,528740.270266125
"121",480808.348012619,527315.978790724
"122",484047.724637208,532488.839035799
"123",485265.323968323,533268.887303249
"124",485696.391650374,532442.139435923
"125",490100.663639911,527419.629077842
"126",495743.257723176,531611.095998038
"127",476556.890313635,529263.048492315
"128",484370.285957374,530544.83017674
"129",476922.560471769,513870.070785182
"130",477576.24981569,515800.762204493
"131",471433.088089856,518959.06954731
"132",474549.31569323,517364.920637803
"133",476492.230648169,515315.055684487
"134",472886.474734988,515361.00774922
"135",481360.138925769,568859.18804343
"136",480812.601026094,566200.213313733
"137",465344.391505533,509239.163771868
"138",505069.902222954,491432.668501425
"139",505924.977794746,491247.865294507
"140",504562.077220099,489059.225812629
"141",463809.391156004,472746.139156807
"142",438335.934847582,396736.301718819
"143",436491.424027278,394897.378386506
"144",421762.299686782,418871.544129948
"145",548917.35254398,518363.131750059
"146",458836.623714672,647376.191251764
"147",523141.684165795,534933.948620965
"148",537896.802297569,488866.989242415
"149",486337.290506172,529401.338413594
"150",550591.989633624,673190.323703399
"151",488175.762061,522029.014671718
"152",466206.035780146,680546.192854706
"153",475288.526748445,516504.793919125
"154",488166.153239323,481482.646899685
"155",508419.177022927,540457.284924694
"156",517639.849798407,479641.005610969
"157",504744.128067565,490696.489728738
"158",451268.320156775,416998.68281666
"159",471585.121794686,477801.574844528
"160",480798.977990558,485170.492905076
"161",506580.077645816,531241.68638324
"162",451253.945284684,400411.078418095
"163",434747.603137727,483363.973116971
"164",458679.903080116,464910.242873152
"165",436491.558286646,396738.620525859
"166",401680.087858364,479431.540494609
"167",398984.183674396,490297.859707817
"168",538580.12391497,492118.405036779
"169",538859.323880066,493460.107790119
"170",482645.965523475,485744.607495617
"171",416791.749606664,435459.155757501
"172",400433.911769083,489318.264129651
"173",535158.922640723,462556.834216373
"174",433580.163910993,488617.902022702
"175",496951.687295468,465210.885106701
"176",507842.547655921,479896.682171971
"177",462612.611937313,521066.803601142
"178",483259.038804171,536991.708356083
"179",481628.605692592,416581.426454542
"180",442784.830119292,558799.694689272
"181",431771.687549114,447658.390956637
"182",576658.605600096,429928.634032293
"183",618226.44936535,524560.316360665
"184",428788.659742023,517081.877841843
"185",440490.673163434,532269.6545219
"186",509396.781485155,448956.718081775
"187",439331.036591579,601121.842898072
"188",440417.36314812,601317.927092903
"189",598595.400144584,533182.640419707
"190",598595.400144584,533182.640419707
"191",405518.678488121,591527.70336899
"192",422422.074576597,468956.614408299
"193",515762.048579407,593909.110363315
"194",515762.048579407,593909.110363315
"195",514124.251826858,408169.865062589
"196",469852.266281735,649210.261077832
"197",457002.682440456,649221.146323341
"198",460693.441181403,570489.716292392
"199",604116.74669787,533193.848346149
"200",525649.729594832,713839.30154064
"201",582570.061781402,555893.421844972
"202",471664.195683808,612346.466336793
"203",449598.141527278,458715.665366307
"204",554349.426961713,487853.281476346
"205",436177.982982912,408530.61562765
"206",436021.879051363,408582.649026995
"207",575843.737745583,507338.721333835
"208",440130.4426283,446447.348283043
"209",504735.072607652,590220.605312818
"210",504735.072607652,590220.605312818
"211",508459.055168896,584055.906060051
"212",530061.877156801,453029.390051891
"213",473498.028358262,606816.014423779
"214",473498.028358262,606816.014423779
"215",571585.793290432,523705.824284393
"216",541388.607448844,417435.267099899
"217",413449.495195889,467757.764937716
"218",447616.45503922,487859.341869407
"219",456303.136778776,472958.354419464
"220",577717.503819769,526295.384585111
"221",437241.273115727,419038.799707821
"222",548922.115721116,516521.579222485
"223",432070.555675335,469611.305915589
"224",578396.376477211,503656.142991686
"225",578396.376477211,503656.142991686
"226",604112.898298485,535037.164882081
"227",604606.457555524,533686.366721959
"228",435195.308417165,461428.251056162
"229",433561.975691031,464699.562749387
"230",562688.079718601,527613.785914528
"231",561794.830105012,527594.214140207
"232",565884.653838149,519950.37452371
"233",550805.591817647,472289.797939521
"234",596776.212057199,522119.589563824
"235",596776.212057199,522119.589563824
"236",574422.551211452,513910.497894909
"237",486355.810346381,593908.604176771
"238",547030.356334857,569969.505429332
"239",547030.356334857,569969.505429332
"240",537552.542254945,574700.515947308
"241",530386.424501442,576001.093879235
"242",558175.424160772,472297.205648686
"243",558175.424160772,472297.205648686
"244",487191.69939167,401375.322743333
"245",474738.415300115,429327.783472294
"246",539053.62792311,594045.639560933
"247",535993.009602361,575489.227632863
"248",535993.009602361,575489.227632863
"249",497382.451451969,582848.138446338
"250",501059.090838372,581004.947122946
"251",545843.841387374,536078.738043281
"252",400073.716068853,640098.343141133
"253",400359.381779365,637764.012607871
"254",510809.565038196,422613.694644177
"255",418505.610248657,489418.259285633
"256",576027.261923374,481201.95597598
"257",534933.235210537,603521.982849273
"258",459443.827430203,601635.226350685
"259",475498.334878843,490114.73430868
"260",445939.122927908,608683.614311892
"261",445939.122927908,608683.614311892
"262",450444.05076643,614021.792983616
"263",469845.853511714,639994.582265792
"264",502895.946318986,608651.254531382
"265",502895.946318986,608651.254531382
"266",515757.065797578,608653.819535503
"267",515757.065797578,608653.819535503
"268",413847.156151386,509453.718582221
"269",476532.244675883,514913.936890555
"270",438033.734698655,625034.609906714
"271",524887.567859938,706344.808341141
"272",517594.293839844,608654.482835528
"273",557608.827632359,513094.170107154
"274",429628.695260726,404627.092413433
"275",583920.686001373,503664.782878746
"276",568685.446721069,513349.545953849
"277",497384.410578494,614180.556247433
"278",597413.846322953,509556.05217269
"279",464293.880464496,584704.996127936
"280",556283.559585157,518372.286040615
"281",559195.795724727,520464.450330646
"282",519529.164245347,448663.933154963
"283",558302.026102686,524057.474989788
"284",558118.102894965,523903.658936265
"285",519459.975821487,538618.421579437
"286",519459.975821487,538618.421579437
"287",539770.870683491,444635.299970853
"288",553303.452782043,567487.85887645
"289",576816.327258024,513663.657336925
"290",408947.627167167,471513.532165509
"291",425416.087618114,466954.744343368
"292",562593.807803137,475350.738315285
"293",561849.72522609,481516.65815328
"294",597582.051024186,491302.839624886
"295",598676.910871348,490788.183506987
"296",452322.219173704,423712.431001787
"297",499220.320784303,560731.287792211
"298",499220.320784303,560731.287792211
"299",455509.552530387,392943.487066724
"300",490033.600014634,603123.046181541
"301",433014.556386808,472073.528997699
"302",433879.477389346,472686.205805185
"303",583887.46550212,523939.832786493
"304",583887.46550212,523939.832786493
"305",474034.53559813,501916.916946885
"306",442788.384797518,498421.261630674
"307",469813.525061232,592073.395720216
"308",457926.185299583,447442.257837473
"309",399920.801244688,607291.881262251
"310",495545.401141685,595749.874171447
"311",442444.18779285,438507.48263062
"312",504737.343682645,566260.658620422
"313",475011.496365081,395662.183707274
"314",495545.401141685,595749.874171447
"315",495545.401141685,595749.874171447
"316",548591.943606396,574148.827844011
"317",466369.383690785,649390.331802731
"318",453068.781747397,417412.485159174
"319",566192.022127937,521144.23581416
"320",561901.363094878,435440.002376319
"321",563128.784173568,434877.813939969
"322",513914.132455021,627084.321180853
"323",601816.505286385,446365.753552977
"324",479735.32429741,387602.08102316
"325",480850.742364481,614184.630457854
"326",563436.781653018,558069.708944142
"327",443421.652353321,517618.531029321
"328",488186.166569004,412614.393126619
"329",412877.158659242,510346.509404783
"330",461904.585745053,498801.411590231
"331",548893.387870029,546011.021326674
"332",548893.387870029,546011.021326674
"333",547604.221510814,547330.597177179
"334",490171.423415504,433964.689117432
"335",619219.923130133,497167.689605828
"336",554494.25005708,468607.297102265
"337",554494.25005708,468607.297102265
"338",430085.341856648,493664.125109628
"339",525012.65523136,470428.766203927
"340",417371.683177923,471934.314390122
"341",527228.629792337,471443.183960195
"342",457596.39382392,538439.943569027
"343",460578.854296748,438290.10061771
"344",607760.142107984,464600.818954197
"345",607942.344121067,463157.356172204
"346",607914.446464312,463958.343248362
"347",598734.333198819,459453.47940586
"348",602444.19656716,446557.781184432
"349",424943.299830325,622460.344262465
"350",462117.91514925,572137.386907418
"351",602367.954940485,487108.651878659
"352",602367.954940485,487108.651878659
"353",602367.954940485,487108.651878659
"354",603589.196007746,486868.600569607
"355",486352.5064976,582850.115406257
"356",486352.5064976,582850.115406257
"357",547092.975181852,503618.335730125
"358",495297.845808862,545106.15161037
"359",550711.974415313,566287.058697782
"360",551013.678574126,566778.274842997
"361",550711.974415313,566287.058697782
"362",435272.25232902,617424.834439012
"363",460504.85529585,436250.278660135
"364",569881.877967295,520043.407550531
"365",464302.441076151,595763.638980614
"366",582187.761225481,431779.329519674
"367",442486.151806269,472897.996922905
"368",459340.694608814,498969.463089425
"369",571007.858392414,520233.74262992
"370",409386.576611544,510568.237999822
"371",461553.442544615,488789.0943813
"372",548420.230708172,527976.481937471
"373",563704.985967336,470460.303083312
"374",558122.324738459,520217.378709021
"375",462588.333151359,735846.163674047
"376",568045.612527017,486254.848444455
"377",545004.514505941,425518.253718851
"378",428036.909688582,446981.450702309
"379",495537.230805134,390774.41213955
"380",508285.73459756,548773.808822787
"381",432325.568192843,499398.747533157
"382",471836.585160736,649985.251690431
"383",513918.062311195,614182.530881248
"384",513918.062311195,614182.530881248
"385",428823.810133062,527628.336849108
"386",427726.842018808,526529.551288062
"387",466124.428035629,385371.123179025
"388",561845.453361492,485202.903726337
"389",561845.453361492,485202.903726337
"390",510239.832134296,632612.685136898
"391",478068.549884318,407330.86864427
"392",413769.677553763,445171.297606748
"393",536003.189576334,530262.809102691
"394",552334.155922535,516919.635218336
"395",502886.956924047,750574.170851693
"396",484509.227713771,568106.153535851
"397",427568.299060261,610552.518617553
"398",424639.299726624,454895.103402877
"399",523170.160550182,470427.955684356
"400",548865.497148862,573657.657789843
"401",563998.422968985,526419.208178052
"402",564951.950629994,420059.335486385
"403",563169.766313858,415571.028849389
"404",574598.842621628,551664.917029517
"405",609789.035865312,461317.728179715
"406",559190.472966129,473510.75249648
"407",558175.424160772,472297.205648686
"408",560017.921577203,472299.215109253
"409",558175.424160772,472297.205648686
"410",500080.430976679,467230.921012453
"411",469894.802495466,708191.735810173
"412",497390.269075128,702651.040621738
