V1,V2,V3
2735.000000,27.511333,77.208870
2913.000000,27.282667,78.189339
3877.000000,26.160000,81.252731
4236.000000,26.526667,81.172691
4496.000000,26.978666,81.987495
4506.000000,26.271334,81.240242
4013.000000,26.811333,83.126213
3824.000000,27.228666,83.397438
3843.000000,27.020000,83.088852
3869.000000,26.636667,83.018211
3004.000000,27.368668,82.719879
2659.000000,27.473333,79.865456
1596.000000,27.455334,77.487274
1392.000000,28.883999,72.247208
1846.000000,29.220001,63.930763
2036.000000,25.336000,66.690353
1767.000000,28.737999,65.786308
2215.000000,22.382668,66.971619
2190.000000,22.184668,68.428062
1586.000000,28.681999,61.708088
2334.000000,26.240000,75.006592
1777.000000,27.936001,76.505463
2063.000000,17.562000,73.106735
1532.000000,27.840668,80.200836
1108.000000,28.866667,64.202499
1315.000000,28.799999,61.795284
1529.000000,28.771999,62.347717
1789.000000,29.213999,62.225670
3529.000000,25.576000,81.883698
3902.000000,26.493999,80.790901
3572.000000,23.514000,75.060005
1442.000000,28.927999,61.014904
3131.000000,24.943333,75.164818
3412.000000,23.758667,76.853333
3689.000000,24.312000,77.242195
3595.000000,22.013334,75.803154
2904.000000,19.390667,73.365936
3186.000000,20.150667,72.599129
2242.000000,26.271999,74.627335
2914.000000,25.752666,76.659843
1451.000000,28.276667,69.042908
1583.000000,28.122000,68.957603
1395.000000,28.757999,66.916702
1399.000000,28.502666,66.523819
1433.000000,28.453333,68.553230
3251.000000,27.291332,83.185349
3053.000000,27.374666,82.852936
2933.000000,27.327999,81.290352
4467.000000,26.757334,82.385818
3656.000000,27.545334,80.886963
4594.000000,27.023333,81.489395
2471.000000,28.091333,76.201546
1314.000000,28.430668,69.536964
1455.000000,30.028667,55.187080
1443.000000,30.133333,54.225685
1685.000000,29.218000,65.115364
1996.000000,24.740667,72.568939
1052.000000,27.997223,77.339348
2026.000000,17.587999,74.431725
2606.000000,25.419333,75.999481
2542.000000,23.214666,72.929329
1806.000000,27.796000,78.923851
1759.000000,28.042665,64.111755
1882.000000,27.440666,64.377350
2206.000000,20.663334,67.931465
1985.000000,26.180666,65.393311
2121.000000,24.952000,68.652374
2215.000000,21.271334,69.240158
1985.000000,17.540001,74.714500
1649.000000,28.287333,64.036530
1448.000000,29.699074,54.769581
1908.000000,29.526667,59.992321
1893.000000,28.520000,63.235786
1747.000000,28.258667,66.315002
985.000000,28.514814,69.673439
1017.000000,28.596001,68.218094
3404.000000,23.450666,74.827370
4227.000000,24.700001,77.753647
3171.000000,19.691999,72.496918
1367.000000,28.794666,67.556656
4053.000000,25.584667,79.716156
3968.000000,24.986000,79.899506
2454.000000,27.472000,78.856316
2312.000000,27.530666,79.319832
1410.000000,28.943335,65.078697
2693.000000,27.485416,78.330048
4255.000000,27.473333,81.885391
4125.000000,27.360001,83.571075
4006.000000,27.313334,83.258415
4544.000000,26.798000,82.114975
4417.000000,26.930666,82.754463
4260.000000,27.200666,83.333328
3899.000000,27.724001,80.843735
4186.000000,27.669334,81.795837
3172.000000,27.474667,80.586662
3474.000000,27.826000,80.706490
1921.000000,28.351334,73.023308
1307.000000,28.511999,70.117912
2044.000000,25.072666,72.949524
1424.000000,28.366667,75.792885
1839.000000,29.032667,68.608368
1831.000000,28.681334,69.634033
1830.000000,28.993999,65.114807
1821.000000,29.023333,65.329613
1653.000000,28.846001,65.739777
1747.000000,28.924667,65.786301
1830.000000,28.849333,64.685844
1817.000000,28.760666,63.706604
1891.000000,26.948666,65.822716
1869.000000,27.645334,67.137383
1945.000000,26.444666,66.740326
1946.000000,21.473333,66.510529
1692.000000,27.908667,78.418221
1559.000000,28.458668,75.719658
1392.000000,28.052000,78.605400
1450.000000,28.177999,77.554634
2823.000000,25.198000,76.248322
