V1,V2,V3
25.442001,11.283998,145.870636
25.424000,11.612000,142.396454
25.437332,11.692001,141.384506
25.620667,10.903999,115.583649
25.916000,9.751999,77.219978
25.593334,9.492001,72.934074
25.507999,9.260000,67.977821
25.107332,9.148001,57.699150
24.779333,9.116001,55.731403
25.584667,9.164000,56.300217
26.350666,9.327999,58.292419
25.646667,8.208000,48.760303
26.037334,8.320000,49.024780
25.869333,8.043999,47.967079
25.526667,7.615999,46.942272
25.809999,7.496000,47.207340
26.023333,7.168001,46.019760
26.240000,7.064001,46.292221
26.190001,6.728001,46.647312
26.336000,6.392000,46.787304
26.073334,11.563999,115.585175
25.660667,11.775999,148.730896
25.645334,11.731998,147.608261
25.837999,11.819998,144.702408
25.594667,13.000002,151.858795
25.469334,12.920002,150.333817
22.254000,11.256001,128.530350
25.084667,12.191999,155.710526
24.757999,12.712000,176.496307
26.160666,10.007999,77.045715
26.244667,8.896000,65.208527
26.459333,7.796000,58.391369
26.259335,9.360001,66.715523
26.000000,9.300001,117.855484
25.802082,9.225002,120.741531
26.277332,8.623999,94.182915
26.289856,8.439131,88.599457
26.316666,8.212000,85.680275
26.383333,8.015999,81.904816
26.408333,7.725000,74.304298
26.389286,8.021429,77.003014
26.090666,10.832003,114.737518
25.933334,11.492001,120.123917
26.101999,11.563999,128.785645
26.226000,11.604000,132.599503
25.813334,13.039997,126.023468
24.386000,8.048000,49.204834
25.306667,7.800001,47.347656
25.582001,7.367998,45.965553
26.290667,7.276001,47.409588
25.127335,9.112000,55.064140
25.438667,9.275999,56.213703
23.515999,9.216000,60.631809
22.858665,9.048000,57.828568
22.013332,8.888000,58.542236
22.085333,9.964001,68.200043
22.542000,10.124001,71.829361
17.497334,8.792000,74.654366
18.136667,8.844000,78.253014
24.355999,9.652000,75.042213
24.255333,9.660000,79.017525
23.528667,9.804001,68.832298
25.226665,11.480001,124.969025
25.306667,11.731998,152.389832
25.157333,11.899998,148.378098
25.273335,11.516003,136.067688
25.955999,7.892000,47.553032
25.999332,7.736000,47.713947
26.388666,6.240000,46.203468
26.247334,7.007999,46.201298
26.206001,6.608000,46.370708
25.547333,8.408001,50.613201
25.174667,8.195999,49.249344
26.355333,9.283998,60.197544
25.980667,9.387999,61.852551
25.647999,8.876001,57.731434
25.609333,9.091999,66.048775
26.069332,9.460001,76.633018
26.055332,9.496000,79.939445
25.489334,10.928001,127.240585
25.784000,12.247999,163.297806
26.244444,11.766666,163.239700
25.780666,11.731998,144.806839
25.658667,12.524000,149.161652
25.737333,11.740002,146.386673
26.340000,9.731998,77.128464
23.642666,9.971998,74.336952
24.310667,9.532000,69.712921
24.804667,12.016001,157.891968
23.496000,11.139999,140.115524
24.655333,12.691999,171.149750
25.966667,8.400000,135.367905
26.378571,8.528572,106.575043
25.832001,13.904001,156.187042
25.327333,11.760000,131.076828
25.737333,12.368002,118.694130
25.947332,12.620001,121.453537
26.542593,9.299999,82.985596
26.406000,9.775999,92.828575
26.118666,12.671999,148.060593
25.690666,10.608000,98.394989
24.907333,9.940001,86.583771
25.573334,10.276001,94.304924
22.049999,9.647999,64.627129
17.730000,8.656000,76.520340
25.403334,11.679998,145.539536
25.379333,11.648001,150.732483
25.548000,9.396000,56.119488
24.195333,8.252001,53.485920
22.999332,8.528000,58.400772
23.626667,8.755999,55.912849
26.160667,7.559999,47.083416
25.778000,7.939999,47.948505
26.292000,6.820000,47.750931
26.376667,6.420000,46.973148
26.350693,6.350000,46.853943
26.302000,7.448002,48.226536
26.125999,8.747999,56.435638
26.280666,8.736000,55.370548
26.148001,8.272001,50.088104
26.145332,8.007999,48.371292
25.375334,8.199999,50.783642
25.986668,9.044001,62.148613
26.159334,9.292000,62.904667
26.224001,9.084000,58.799294
26.002666,8.931999,58.679413
26.201334,9.996000,83.168365
25.802666,12.119999,139.609756
25.414000,11.824001,152.441422
25.377333,11.288000,145.610092
25.409334,12.647999,153.716125
25.157333,12.519999,159.045776
25.059999,12.096003,161.110031
25.318666,12.296000,145.133926
23.874666,11.927999,135.746063
26.107334,10.792002,95.944511
26.554001,7.476002,55.537601
26.403999,8.403999,62.449947
25.871334,8.440001,56.144569
26.399242,6.190910,45.938316
26.320000,7.724001,53.583607
25.764000,9.043999,59.763035
23.432667,9.960001,72.841560
24.873333,12.288000,147.702026
24.557333,12.472000,158.529907
24.510000,12.524000,162.842545
18.152666,10.216000,94.538628
22.344000,10.636000,119.533623
26.565475,7.964285,92.436653
26.350666,9.980001,97.796310
24.799999,11.840000,123.422058
24.990667,12.199999,123.286095
25.846001,12.035997,112.857826
24.923334,11.836000,136.550049
26.323610,11.541670,147.998917
26.255333,10.000002,96.582184
25.128000,12.348000,131.109634
