X,Y
337,531
337,533
337,534
337,544
337,556
337,557
337,558
337,561
337,562
337,568
337,569
337,578
337,579
337,580
337,581
337,582
337,584
337,585
337,586
337,587
354,574
354,539
354,540
354,542
354,547
354,550
349,553
349,545
349,536
349,575
349,580
349,585
349,579
324,539
324,533
324,546
324,549
324,550
324,551
324,554
324,553
370,571
370,566
370,560
370,556
366,564
341,580
341,581
341,583
341,585
341,573
341,572
341,577
341,576
341,578
341,562
341,563
341,568
341,569
341,555
341,554
341,557
341,544
341,531
341,533
341,537
336,580
336,581
336,587
336,585
336,586
336,572
336,574
336,568
336,562
336,566
336,558
336,556
336,555
336,539
353,531
353,517
353,541
353,545
353,542
353,581
348,571
348,573
348,545
348,550
348,537
323,499
323,534
365,551
365,559
365,564
365,568
365,579
365,578
365,547
340,550
340,552
340,551
340,563
340,568
340,532
340,531
340,571
340,579
340,578
340,577
340,583
340,581
340,587
340,588
335,587
335,583
335,569
335,570
335,575
335,577
335,572
335,559
335,564
335,567
335,560
352,578
352,554
351,538
351,539
351,549
351,548
351,545
351,552
351,559
351,575
351,585
351,582
347,580
347,587
347,584
347,578
347,571
347,542
347,540
347,539
347,553
347,550
322,537
364,578
364,561
364,562
364,568
364,558
363,536
363,578
363,560
363,552
363,558
363,555
359,566
359,583
359,532
359,549
334,496
334,580
334,585
334,586
334,563
334,561
334,562
334,558
334,571
334,579
334,576
334,577
334,575
334,572
334,541
334,542
334,536
334,549
334,548
334,532
350,576
350,573
350,583
350,525
350,539
350,538
350,559
346,587
346,586
346,582
346,577
346,556
346,555
346,554
346,551
362,557
362,559
362,566
362,561
362,544
358,582
358,580
358,569
358,560
358,557
358,555
358,547
358,549
358,541
333,499
333,581
333,582
333,583
333,567
333,579
333,570
333,571
333,572
333,538
333,546
333,556
333,550
329,499
329,530
329,518
329,576
329,579
329,564
329,566
329,570
329,561
345,541
345,554
345,557
345,559
345,558
345,575
345,576
345,578
345,584
345,588
345,582
361,543
361,578
361,581
361,582
361,558
361,559
361,557
361,551
361,569
361,566
357,556
357,553
357,537
357,525
357,523
357,583
357,580
332,585
332,583
332,584
332,581
332,556
332,557
332,546
332,576
332,578
332,572
332,570
332,565
332,564
332,568
332,560
332,500
332,532
332,537
332,535
328,570
328,573
328,565
328,569
328,575
328,550
328,561
327,518
327,566
327,570
327,544
327,547
327,554
327,564
327,561
327,498
373,558
373,556
373,561
373,564
369,556
369,546
369,575
369,574
344,587
344,586
344,585
344,581
344,537
344,544
344,553
344,551
344,557
344,556
339,548
339,557
339,558
339,559
339,553
339,571
339,570
339,564
339,566
339,580
339,579
339,577
339,578
339,588
360,569
360,564
360,561
360,558
360,559
360,582
360,575
356,581
356,565
356,577
356,572
356,573
356,543
331,545
331,540
331,575
331,577
331,578
331,571
331,573
331,570
331,568
331,564
331,566
331,537
326,563
326,560
326,559
326,555
326,551
326,548
326,570
326,567
326,569
326,568
326,540
326,537
372,554
372,567
372,569
372,565
372,570
368,557
368,565
368,561
368,553
368,556
368,555
343,585
343,588
343,584
343,576
343,571
343,561
343,557
343,558
343,555
343,550
343,549
343,544
343,536
338,531
338,532
338,541
338,556
338,555
338,564
338,561
338,569
338,567
338,575
338,571
338,577
338,584
338,581
355,547
355,541
355,557
355,584
355,569
355,576
355,570
330,554
330,552
330,551
330,566
330,560
330,535
330,582
330,580
325,534
325,540
325,558
325,557
325,563
325,551
325,568
371,572
371,563
371,556
367,545
342,566
342,561
342,560
342,557
342,556
342,545
342,589
342,586
342,584
342,579
342,573
342,572
