V1,V2,V3
76.000000,28.778000,145.870636
76.000000,28.751333,141.414963
290.000000,28.286667,91.445496
350.000000,27.511333,72.934074
443.000000,26.669334,56.036774
472.000000,26.826000,57.545212
511.000000,26.978666,56.300217
504.000000,27.822666,58.292419
613.000000,25.916000,48.473389
589.000000,26.811333,48.760303
565.000000,27.228666,49.024780
577.000000,27.020000,47.967079
594.000000,26.636667,46.942272
547.000000,26.944668,47.207340
479.000000,27.128666,46.019760
405.000000,27.324001,46.647312
361.000000,27.473333,46.787304
139.000000,24.511333,111.135162
140.000000,24.263332,106.372246
170.000000,27.827333,151.833054
197.000000,25.336000,128.530350
161.000000,22.184668,96.141953
605.000000,25.576000,49.204834
489.000000,24.332666,71.347420
536.000000,26.493999,55.064140
527.000000,26.846666,56.213703
527.000000,24.304001,57.828568
505.000000,23.514000,58.542236
414.000000,24.943333,71.087578
434.000000,23.758667,68.200043
430.000000,24.312000,71.829361
388.000000,22.013334,71.299858
344.000000,19.390667,74.654366
357.000000,20.204666,74.173515
359.000000,20.150667,78.253014
84.000000,28.757999,152.389832
83.000000,28.502666,148.378098
565.000000,27.094000,47.553032
466.000000,27.291332,46.483395
553.000000,27.146000,47.713947
427.000000,27.374666,46.201298
407.000000,27.327999,46.370708
439.000000,27.645332,62.927956
256.000000,28.288000,95.453247
149.000000,22.834667,102.823151
449.000000,25.419333,74.336952
160.000000,20.663334,96.183945
191.000000,26.180666,135.595657
242.000000,24.952000,92.738304
158.000000,21.271334,91.057213
115.000000,28.287333,160.540237
39.000000,28.596001,92.828575
252.000000,28.219999,98.394989
292.000000,28.013334,94.304924
379.000000,26.896666,71.365753
438.000000,23.450666,70.981064
396.000000,25.963333,74.031532
449.000000,24.700001,67.095383
444.000000,25.367334,65.960175
349.000000,19.691999,76.520340
522.000000,25.555332,62.286324
612.000000,25.490000,53.485920
591.000000,24.480667,58.400772
591.000000,24.986000,55.912849
463.000000,27.325333,47.083416
345.000000,27.472000,47.750931
559.000000,27.147333,47.674137
358.000000,27.485416,46.853943
475.000000,27.488001,48.226536
420.000000,27.430000,47.150040
517.000000,27.473333,56.435638
521.000000,27.614666,55.370548
553.000000,27.360001,50.088104
552.000000,27.313334,48.371292
560.000000,26.567333,50.783642
