X,Y
337,531
337,532
337,552
337,557
337,563
337,565
337,568
337,569
337,577
337,578
337,579
337,580
337,581
337,582
337,584
337,586
337,587
354,563
354,564
349,550
349,553
349,556
341,580
341,570
341,573
341,572
341,576
341,578
341,560
341,562
341,563
341,566
341,568
341,567
341,569
341,531
341,533
336,580
336,584
336,581
336,585
336,586
336,563
336,549
353,565
348,571
348,554
348,551
348,557
348,555
348,540
365,578
340,550
340,551
340,559
340,561
340,560
340,565
340,564
340,568
340,570
340,579
340,578
340,577
340,583
340,587
335,580
335,587
335,583
335,585
335,569
335,570
335,575
335,577
335,572
335,573
335,574
335,567
335,561
335,552
352,570
351,540
347,541
347,539
347,556
347,553
347,554
347,550
363,558
359,569
334,585
334,563
334,578
334,579
350,539
346,572
346,539
346,540
346,557
346,549
346,556
346,555
346,553
346,552
346,550
362,561
333,585
333,580
333,581
333,582
333,563
333,564
333,567
333,569
333,578
333,579
333,570
333,571
329,576
329,577
329,570
345,540
345,537
345,551
345,556
345,562
345,563
345,559
345,558
345,572
345,576
345,571
345,584
361,559
361,567
361,565
332,577
332,578
332,579
332,570
332,565
332,566
332,564
328,577
327,537
344,578
344,577
344,572
344,536
344,537
344,547
344,546
344,545
344,553
344,558
344,557
344,556
344,563
344,562
339,551
339,546
339,560
339,574
339,570
339,568
339,569
339,564
339,566
339,567
339,580
339,579
339,577
339,578
360,558
356,565
331,573
331,570
331,565
331,566
326,539
343,588
343,578
343,576
343,571
343,560
343,557
343,556
343,559
343,558
343,553
343,552
343,555
343,548
343,547
343,544
343,539
343,537
343,536
338,532
338,548
338,552
338,550
338,564
338,561
338,569
338,567
338,575
338,572
338,571
338,578
338,577
338,581
338,587
355,564
330,564
330,573
325,539
371,556
342,559
342,557
342,556
342,545
342,538
342,580
342,579
342,577
342,572
342,571
