V1,V2,V3
87.000000,28.100666,128.655609
290.000000,26.904667,91.445496
350.000000,26.463333,72.934074
19.000000,27.642000,135.129425
4.000000,22.627333,303.693451
66.000000,28.769333,115.585175
176.000000,29.108002,151.858795
171.000000,28.989334,150.333817
62.000000,15.538667,464.270630
178.000000,27.271334,147.688293
155.000000,29.305334,172.089020
118.000000,28.855333,176.496307
162.000000,27.815334,77.045715
210.000000,27.416666,58.391369
5.000000,24.076666,481.769592
70.000000,28.383333,117.855484
47.000000,28.307777,119.810974
44.000000,28.206249,120.741531
146.000000,28.015333,94.182915
181.000000,27.870291,88.599457
190.000000,27.163334,85.680275
204.000000,27.220238,77.003014
52.000000,28.772001,114.737518
85.000000,28.704666,120.123917
120.000000,29.213999,132.599503
105.000000,29.652779,134.049408
109.000000,28.701332,126.023468
48.000000,28.412666,106.143982
93.000000,28.863333,174.160919
103.000000,28.950001,166.771881
84.000000,28.644667,152.389832
85.000000,28.719999,153.120529
83.000000,28.385334,148.378098
81.000000,28.472668,145.447906
88.000000,27.948000,127.804619
75.000000,28.298666,137.874039
72.000000,28.528000,144.946365
141.000000,29.653332,163.297806
141.000000,29.745335,171.889740
135.000000,29.805555,163.239700
142.000000,28.880667,152.386353
148.000000,28.868000,144.806839
154.000000,28.980000,146.386673
25.000000,18.827333,435.551788
146.000000,28.419333,161.741959
142.000000,28.338667,157.891968
113.000000,28.510000,166.217529
118.000000,29.460186,157.235535
151.000000,29.526667,156.187042
151.000000,28.520000,135.464371
133.000000,28.193333,122.879097
37.000000,28.438889,82.985596
39.000000,28.585333,92.828575
119.000000,29.725363,140.681091
119.000000,29.819048,144.277298
292.000000,27.084000,94.304924
80.000000,28.513332,145.539536
82.000000,28.672667,150.732483
79.000000,28.162666,139.422104
91.000000,28.124666,133.440735
85.000000,28.133333,134.149734
98.000000,28.104000,122.477997
23.000000,28.563999,256.881042
204.000000,24.968000,79.494835
86.000000,28.084667,83.168365
133.000000,29.161112,142.329590
145.000000,28.835333,139.609756
133.000000,28.639334,148.831940
161.000000,28.779333,152.563812
170.000000,28.771999,159.045776
169.000000,28.745333,161.110031
162.000000,28.780666,146.779755
105.000000,28.350000,95.944511
165.000000,27.414000,55.537601
136.000000,27.525333,62.449947
6.000000,28.353333,388.778473
3.000000,23.073999,283.326965
238.000000,26.828030,45.938316
270.000000,26.754667,53.583607
111.000000,28.095333,153.496124
109.000000,28.226665,162.842545
108.000000,28.383333,166.691025
137.000000,27.993332,156.653458
147.000000,28.756666,156.928284
43.000000,28.426390,98.688927
59.000000,28.197618,92.436653
15.000000,20.355333,505.879364
41.000000,28.676666,97.796310
147.000000,27.660000,123.422058
132.000000,27.825333,123.286095
73.000000,28.458000,112.857826
156.000000,28.122000,136.550049
143.000000,29.411333,143.428680
118.000000,29.877777,147.998917
45.000000,27.994667,89.632828
44.000000,28.556000,96.582184
144.000000,28.146000,131.109634
168.000000,28.694666,149.400528
150.000000,28.265999,139.733109
149.000000,28.270000,136.573334
160.000000,28.505333,147.195374
130.000000,27.770000,140.456940
81.000000,26.945333,97.379486
55.000000,28.052666,96.849205
63.000000,27.711332,64.456978
130.000000,29.768000,162.164276
147.000000,29.702667,166.553406
169.000000,29.138000,157.421494
164.000000,29.134001,156.885071
24.000000,28.383999,256.327545
108.000000,28.058666,120.381485
227.000000,27.754000,99.499634
68.000000,28.467333,143.043030
124.000000,27.973333,83.197998
145.000000,27.963333,87.856766
158.000000,27.709333,81.632729
167.000000,27.374001,60.540146
137.000000,29.627333,178.561539
161.000000,29.492666,180.114761
121.000000,28.313999,144.690384
127.000000,28.852667,172.486206
129.000000,28.432667,150.823547
168.000000,28.352667,156.078369
260.000000,26.747334,45.153927
317.000000,26.752001,49.611294
105.000000,28.035999,141.860443
144.000000,29.048666,172.606201
50.000000,20.799305,365.520905
152.000000,27.279333,140.635071
148.000000,28.066668,140.698837
87.000000,26.279333,105.594101
130.000000,27.840000,129.494415
142.000000,29.602001,164.238174
135.000000,29.866667,168.357208
5.000000,24.379333,365.058167
74.000000,27.894667,69.026543
61.000000,27.750668,66.395905
60.000000,28.134666,99.107384
64.000000,27.818001,91.391319
117.000000,27.416668,127.669281
136.000000,28.197334,151.487549
152.000000,28.414665,154.921127
170.000000,29.224667,152.638397
171.000000,28.962666,148.087479
171.000000,28.722668,150.517181
86.000000,29.480000,176.601639
76.000000,29.266666,168.269547
69.000000,29.091999,158.809708
58.000000,27.945999,127.354073
64.000000,28.326666,128.776855
56.000000,28.070000,131.541397
143.000000,28.033335,111.940247
124.000000,28.834000,161.128555
97.000000,28.109333,149.863602
100.000000,27.945999,149.891922
180.000000,24.756666,102.899246
378.000000,26.546001,49.291958
48.000000,28.450001,96.475975
55.000000,28.439333,84.885735
55.000000,28.028206,69.995018
152.000000,28.028000,145.659027
144.000000,27.917334,140.685699
156.000000,27.953999,147.972809
160.000000,29.308666,148.561279
62.000000,27.892000,101.320534
75.000000,27.486668,99.474304
170.000000,29.183334,148.163284
139.000000,28.456667,156.817215
159.000000,28.624001,157.069489
141.000000,29.575333,165.358917
153.000000,29.472000,158.090866
135.000000,30.038666,169.291870
133.000000,29.798244,159.380997
84.000000,27.854630,65.335060
67.000000,28.057333,74.602333
242.000000,26.964001,91.743538
168.000000,27.911999,106.990021
66.000000,28.236666,137.510193
37.000000,28.514668,136.384903
219.000000,27.033333,89.147636
17.000000,21.431334,475.390259
85.000000,28.262001,116.792816
174.000000,28.049334,107.022881
192.000000,27.011333,97.263023
226.000000,26.485332,78.047546
94.000000,29.107292,119.934525
89.000000,29.634445,134.017776
78.000000,29.210001,119.963715
131.000000,29.330000,139.473434
61.000000,28.520000,115.070801
38.000000,28.396378,91.079285
41.000000,28.522667,99.106133
92.000000,28.074667,138.130997
91.000000,27.986000,140.985931
147.000000,26.573334,118.047150
24.000000,20.750668,489.774048
74.000000,29.062668,181.068939
84.000000,28.159332,134.768478
79.000000,28.595333,145.367783
78.000000,28.257334,139.244522
268.000000,27.212000,95.599861
65.000000,27.874666,101.498924
60.000000,28.066000,101.736801
98.000000,26.824667,108.300644
124.000000,27.340666,128.068069
145.000000,27.948666,147.954346
137.000000,27.722000,140.416489
61.000000,27.736000,62.601772
56.000000,28.262667,105.497398
79.000000,28.274666,79.226639
60.000000,28.436666,105.666298
55.000000,28.757999,116.208710
163.000000,29.171999,151.884720
158.000000,29.404667,152.432663
109.000000,28.157999,119.961227
71.000000,28.386665,129.046844
85.000000,28.219334,125.544998
226.000000,26.528667,74.663010
211.000000,27.116001,82.825027
191.000000,27.062666,93.610504
80.000000,28.342001,118.426064
71.000000,28.294666,118.095268
98.000000,29.189333,121.573341
94.000000,29.226000,118.323624
64.000000,29.230667,117.840767
55.000000,28.987963,108.970695
71.000000,29.295334,122.557381
50.000000,28.930952,107.007751
138.000000,29.158001,133.937866
99.000000,28.866001,127.182411
138.000000,28.495333,122.616066
114.000000,30.274242,162.683762
127.000000,29.189333,136.079651
109.000000,27.869999,128.973404
88.000000,28.068666,138.622009
85.000000,29.010666,163.473251
78.000000,28.680668,151.665039
78.000000,28.548000,142.275909
81.000000,28.190666,137.125381
77.000000,28.509333,139.398087
176.000000,29.026001,155.341782
154.000000,29.044666,146.251419
121.000000,28.710667,147.001358
57.000000,28.435333,101.028076
238.000000,26.326000,85.322929
243.000000,26.327333,82.614029
306.000000,26.523333,70.634026
81.000000,28.282667,126.404976
72.000000,28.377333,129.440033
79.000000,29.672667,179.451248
79.000000,28.320000,114.928802
53.000000,28.307333,122.300667
89.000000,28.230000,112.195152
44.000000,28.359333,124.243507
237.000000,27.314285,68.504501
206.000000,27.206667,80.749527
44.000000,28.698809,101.804024
103.000000,28.866667,124.086937
116.000000,29.747059,135.386505
