X,Y
337,557
337,569
337,578
337,579
337,580
337,581
337,582
337,584
337,586
337,587
349,553
341,580
341,585
341,577
341,576
341,579
341,578
341,562
341,563
341,568
341,569
341,554
336,581
336,578
336,579
336,574
353,567
348,568
348,571
348,565
340,564
340,562
340,568
340,579
340,578
340,577
340,585
335,579
335,587
335,569
335,570
335,575
335,577
335,572
335,573
352,568
351,566
351,569
347,566
347,555
347,554
334,582
334,580
334,587
334,576
334,577
334,572
350,566
350,568
350,567
350,554
350,559
346,571
346,554
346,552
346,551
358,560
333,580
333,582
333,567
333,579
345,572
345,571
361,558
361,559
361,560
332,581
344,557
344,556
344,561
339,570
339,568
339,564
339,566
339,582
339,583
339,584
339,580
339,579
339,577
339,578
339,586
331,575
343,589
343,588
343,584
343,578
343,576
343,571
343,560
343,561
343,557
343,556
343,559
343,558
338,564
338,561
338,569
338,567
338,575
338,571
338,577
338,581
338,580
355,565
330,583
342,560
342,557
342,583
342,579
342,574
