X,Y
337,538
337,552
337,557
217,443
185,291
354,574
354,547
354,550
746,75
349,551
349,526
349,536
349,575
349,585
38,138
324,539
324,534
324,533
324,546
324,549
324,550
324,553
370,571
370,566
370,556
370,547
366,564
366,573
341,518
341,521
341,531
341,530
341,533
341,534
341,539
336,534
336,532
353,531
353,519
353,517
353,540
353,541
353,542
460,200
348,546
348,545
348,539
348,509
365,551
365,558
365,562
365,579
365,578
365,543
365,541
340,551
340,532
340,531
340,533
340,539
340,537
335,540
335,417
352,570
352,578
352,516
352,554
351,540
351,543
351,548
351,545
351,551
351,575
351,585
351,582
202,230
178,286
347,587
347,584
347,541
347,539
347,538
347,546
347,520
322,534
322,537
400,199
364,578
364,561
364,562
364,568
364,558
364,548
363,536
363,574
363,578
363,560
363,552
363,558
363,559
363,555
359,559
359,566
359,571
359,581
359,530
359,541
359,549
359,551
334,422
334,541
334,548
334,532
350,576
350,574
350,573
350,583
350,518
350,522
350,539
350,535
350,540
350,549
346,587
346,582
346,542
346,524
544,203
362,557
362,559
362,566
362,561
362,544
362,540
700,203
358,582
358,580
358,570
358,569
358,560
358,557
358,555
358,547
358,548
358,549
333,497
333,499
329,499
329,530
329,534
329,529
329,542
345,529
345,541
345,537
345,549
345,582
361,578
361,581
361,582
361,558
361,559
361,557
361,551
361,569
361,567
357,546
357,556
357,553
357,537
357,541
357,525
357,523
357,583
357,580
332,550
332,545
332,532
328,526
328,550
398,212
327,538
327,544
327,547
327,554
373,558
373,561
373,564
369,556
369,570
369,575
369,574
344,542
344,541
344,547
369,202
339,512
339,537
339,531
339,533
339,550
360,568
360,569
360,564
360,561
360,558
360,559
360,582
360,570
356,581
356,572
356,573
356,543
356,542
331,540
331,535
331,537
326,555
326,551
326,548
326,538
326,537
372,555
372,554
372,567
372,569
372,566
372,570
368,557
368,565
368,561
368,547
368,553
343,544
343,539
338,522
338,530
338,531
338,536
338,532
355,547
355,541
355,557
355,576
330,552
330,553
330,560
330,536
330,535
330,498
325,539
325,534
325,540
325,533
325,559
325,552
371,572
371,563
367,545
