V1,V2,V3
1285.000000,28.778000,67.384506
1292.000000,28.705999,67.085777
1296.000000,28.685333,67.094307
1486.000000,28.412666,70.506233
2501.000000,27.952667,76.674881
2735.000000,27.511333,77.208870
2913.000000,27.282667,78.189339
3567.000000,26.555332,80.702515
3877.000000,26.160000,81.252731
4496.000000,26.978666,81.987495
3989.000000,27.822666,82.493576
4311.000000,25.916000,82.077057
4013.000000,26.811333,83.126213
3824.000000,27.228666,83.397438
3843.000000,27.020000,83.088852
3869.000000,26.636667,83.018211
3619.000000,26.944668,83.062073
3264.000000,27.128666,83.203110
3004.000000,27.368668,82.719879
2891.000000,27.324001,81.163284
2659.000000,27.473333,79.865456
1392.000000,28.883999,72.247208
1643.000000,29.184000,64.093643
1666.000000,29.162666,64.359596
1721.000000,29.194000,65.662727
1846.000000,29.220001,63.930763
1885.000000,29.016001,64.223412
2036.000000,25.336000,66.690353
1767.000000,28.737999,65.786308
1566.000000,28.867332,61.815609
1777.000000,27.936001,76.505463
1532.000000,27.840668,80.200836
1332.000000,27.919333,78.121262
1557.000000,27.892000,80.445152
1108.000000,28.866667,64.202499
1033.000000,28.750000,62.206398
1348.000000,28.620667,67.319893
1471.000000,28.507246,69.246956
1519.000000,28.479332,69.889595
1564.000000,28.466667,70.047417
1727.000000,28.329166,69.943359
1672.000000,28.370239,69.642319
1315.000000,28.799999,61.795284
1529.000000,28.771999,62.347717
1719.000000,29.096666,62.115189
1789.000000,29.213999,62.225670
1678.000000,28.764000,65.005119
3529.000000,25.576000,81.883698
3252.000000,26.469999,82.841873
3019.000000,26.704000,83.256439
2588.000000,27.467333,81.839828
2225.000000,27.569332,78.412254
3902.000000,26.493999,80.790901
3807.000000,26.846666,81.029907
3814.000000,25.031334,78.323929
3790.000000,24.304001,77.295166
3572.000000,23.514000,75.060005
3412.000000,23.758667,76.853333
3689.000000,24.312000,77.242195
2904.000000,19.390667,73.365936
3186.000000,20.150667,72.599129
2320.000000,26.270000,75.379883
2242.000000,26.271999,74.627335
2672.000000,25.250000,75.047592
1583.000000,28.122000,68.957603
1395.000000,28.757999,66.916702
1399.000000,28.502666,66.523819
1421.000000,28.369333,68.545197
2547.000000,21.275333,64.345009
3861.000000,27.094000,83.143265
3759.000000,27.146000,83.242851
2670.000000,27.506001,80.240387
3053.000000,27.374666,82.852936
2933.000000,27.327999,81.290352
4467.000000,26.757334,82.385818
4110.000000,27.024000,83.493996
4558.000000,26.328667,81.901749
4155.000000,27.846666,81.972580
3656.000000,27.545334,80.886963
4594.000000,27.023333,81.489395
2925.000000,27.322666,78.699234
2471.000000,28.091333,76.201546
2340.000000,28.167334,74.831505
1314.000000,28.430668,69.536964
1548.000000,29.653332,59.664169
1443.000000,30.133333,54.225685
1685.000000,29.218000,65.115364
1803.000000,29.222666,64.846161
1712.000000,29.154667,66.152748
1162.000000,28.156666,76.024124
5544.000000,26.280001,60.081436
2606.000000,25.419333,75.999481
2535.000000,25.944666,76.601631
1744.000000,28.462666,64.844093
1942.000000,26.782000,65.239380
1582.000000,28.637333,63.023956
1122.000000,29.383333,55.324078
1005.000000,29.019047,63.735336
1908.000000,29.526667,59.992321
1873.000000,28.378666,63.608276
1679.000000,28.480667,66.704391
1478.000000,28.744667,65.985207
985.000000,28.514814,69.673439
1017.000000,28.596001,68.218094
1745.000000,29.615334,60.137840
1836.000000,28.219999,72.508171
2100.000000,27.170000,73.869888
1921.000000,28.013334,72.868820
3741.000000,23.642666,76.755127
3171.000000,19.691999,72.496918
1360.000000,28.705999,67.146126
1367.000000,28.794666,67.556656
3990.000000,26.968000,81.829140
3775.000000,25.490000,81.838737
3864.000000,24.480667,77.564102
3968.000000,24.986000,79.899506
2970.000000,27.325333,83.315697
