V1,V2,V3
25.593334,9.492001,72.934074
25.507999,9.260000,67.977821
24.779333,9.116001,55.731403
25.157333,9.056002,56.781399
25.584667,9.164000,56.300217
25.078667,8.535999,50.466618
25.646667,8.208000,48.760303
26.037334,8.320000,49.024780
25.869333,8.043999,47.967079
25.526667,7.615999,46.942272
26.240000,7.064001,46.292221
26.336000,6.392000,46.787304
15.532000,19.608000,458.639893
25.542000,10.212000,82.420792
26.073334,11.563999,115.585175
25.594667,13.000002,151.858795
22.254000,11.256001,128.530350
25.084667,12.191999,155.710526
19.701334,11.039999,106.500572
19.764668,10.768000,96.141953
24.568666,12.712002,177.628006
24.467333,10.123999,76.834007
26.160666,10.007999,77.045715
15.412000,8.944000,84.507217
26.244667,8.896000,65.208527
16.991333,20.000000,470.197083
26.000000,9.300001,117.855484
26.090666,10.832003,114.737518
25.933334,11.492001,120.123917
26.226000,11.604000,132.599503
18.589333,17.744001,422.112946
24.386000,8.048000,49.204834
25.127335,9.112000,55.064140
22.013332,8.888000,58.542236
24.866667,11.896000,174.160919
23.183332,10.112000,71.087578
22.085333,9.964001,68.200043
22.542000,10.124001,71.829361
20.221333,9.504002,71.299858
17.497334,8.792000,74.654366
18.136667,8.844000,78.253014
24.255333,9.660000,79.017525
24.021999,9.780001,68.791252
25.354668,11.124001,125.697578
25.226665,11.480001,124.969025
25.306667,11.731998,152.389832
25.157333,11.899998,148.378098
25.427999,11.096001,127.804619
26.062000,13.724001,151.311081
25.360001,17.295000,259.986176
26.161333,7.208000,46.483395
26.247334,7.007999,46.201298
26.206001,6.608000,46.370708
25.547333,8.408001,50.613201
25.875334,8.091999,47.947208
25.980667,9.387999,61.852551
25.647999,8.876001,57.731434
26.069332,9.460001,76.633018
25.489334,10.928001,127.240585
21.751333,9.636000,58.529507
25.933334,11.759998,171.889740
26.244444,11.766666,163.239700
25.780666,11.731998,144.806839
22.902000,11.120001,78.246529
26.620834,7.391666,55.022800
14.816000,28.003998,597.497131
22.680000,25.912001,394.957062
15.574667,8.564000,78.624191
23.642666,9.971998,74.336952
21.062000,10.528000,87.256470
26.167334,9.472000,69.471008
24.535334,11.716000,151.912491
23.987999,11.692001,149.351181
18.209999,10.252000,96.183945
19.289333,10.799999,109.745361
22.966667,11.204000,135.595657
22.717333,11.012001,92.738304
18.955999,10.388000,91.057213
15.524000,8.640000,78.698952
24.584667,12.116001,160.540237
26.695333,11.727999,66.758904
25.996296,10.327780,157.235535
16.797333,17.304001,362.826141
25.832001,13.904001,156.187042
25.350666,12.028000,135.464371
25.523335,12.228003,117.813583
26.542593,9.299999,82.985596
26.406000,9.775999,92.828575
21.680666,9.848001,70.981064
23.045334,9.672001,67.095383
17.730000,8.656000,76.520340
25.379333,11.648001,150.732483
24.222000,8.947998,56.413845
23.626667,8.755999,55.912849
26.292000,6.820000,47.750931
26.376667,6.420000,46.973148
25.166666,12.028002,164.513168
26.350693,6.350000,46.853943
26.125999,8.747999,56.435638
26.148001,8.272001,50.088104
26.145332,8.007999,48.371292
26.004665,7.983999,48.722698
25.576000,8.372002,51.662655
25.732666,8.292000,50.503201
25.988667,8.344000,50.420059
26.159334,9.292000,62.904667
26.224001,9.084000,58.799294
26.002666,8.931999,58.679413
26.228001,9.275999,62.696980
26.001333,10.236002,90.972824
25.630667,10.855999,122.477997
25.844667,16.959999,256.881042
19.534000,25.787998,460.799194
20.877083,14.941669,329.509674
18.619333,22.799999,434.155182
23.194000,11.412001,79.494835
26.091999,10.383999,92.687592
25.802666,12.119999,139.609756
25.573999,11.604000,131.747116
25.323334,12.716000,156.543640
25.348667,12.539999,156.670792
26.262001,7.844000,45.794849
25.350666,11.616001,148.831940
25.353333,11.624001,152.563812
25.157333,12.519999,159.045776
24.969334,12.252001,162.227478
23.874666,11.927999,135.746063
24.434666,12.180000,136.536880
23.520666,11.312000,128.433853
18.866667,11.956001,106.617027
25.973333,10.288000,83.184776
26.107334,10.792002,95.944511
26.245333,10.095999,79.740280
26.170000,10.308002,85.435234
26.262667,8.180000,50.112656
21.167334,15.976000,220.261948
22.728666,25.572001,388.778473
23.432667,9.960001,72.841560
15.258000,8.508001,75.470047
24.666000,12.375999,153.496124
24.557333,12.472000,158.529907
24.510000,12.524000,162.842545
15.897333,8.868000,73.640038
18.152666,10.216000,94.538628
21.224667,10.852001,90.157425
21.743334,10.792002,114.728867
22.344000,10.636000,119.533623
24.525333,11.764000,156.653458
24.326668,11.612000,151.941833
25.222668,10.616001,156.928284
24.154667,16.212000,210.788300
20.355333,27.307999,505.879364
26.426666,9.664000,89.639084
26.350666,9.980001,97.796310
24.799999,11.840000,123.422058
25.280666,12.200001,117.461540
24.990667,12.199999,123.286095
25.846001,12.035997,112.857826
24.923334,11.836000,136.550049
22.361334,18.343998,260.841064
25.128000,12.348000,131.109634
25.129999,13.152000,149.400528
24.982000,12.135998,139.733109
25.069334,12.279999,136.573334
24.556000,14.935997,169.947876
24.507999,13.059999,140.456940
24.799999,11.851999,97.379486
25.737333,11.068001,97.749870
26.521999,8.048000,64.456978
25.380667,13.916000,157.421494
26.299999,6.779999,49.153004
25.981333,8.855999,59.449844
25.872667,9.024000,68.548027
26.185999,8.592001,54.379887
26.372000,8.007999,49.971123
26.288000,8.080002,50.300289
25.604000,10.580002,120.381485
25.605999,10.628000,117.101166
25.746666,10.403999,123.436218
26.000000,9.271999,75.254982
18.407333,18.764000,412.232300
26.429333,8.328001,60.540146
25.218000,12.480001,176.726273
25.086000,10.803999,144.690384
25.070667,12.172001,166.807999
23.115334,17.387999,240.912125
26.307333,6.224001,45.153927
23.129333,10.436001,71.238342
24.694666,11.643999,135.551559
24.980667,11.992001,141.860443
24.024666,11.368000,89.343605
16.175333,8.967999,76.913177
20.558001,10.608000,89.606262
18.814667,10.316001,94.184578
20.302666,10.548000,96.043221
21.134666,10.564001,104.278992
21.304001,21.188000,287.132446
20.790001,21.339998,286.492035
16.913334,19.628002,448.810394
26.423334,9.899998,91.936356
26.564394,9.531818,87.939682
23.949333,12.264002,140.635071
24.778667,12.780001,140.698837
23.880667,11.032001,105.594101
24.873333,12.539999,129.494415
25.666668,13.800001,164.238174
26.448666,8.596001,66.395905
25.941334,11.603998,99.107384
25.815334,11.551998,91.391319
24.528667,12.908001,127.669281
24.648666,12.780001,151.487549
25.064667,13.243998,156.576691
24.793333,13.007999,154.921127
25.582666,13.080002,152.638397
25.167334,12.528000,150.517181
26.215000,10.719999,156.389221
26.344999,6.590000,48.153809
26.232000,7.384001,48.372135
26.326000,7.232000,49.590862
25.774666,8.440001,54.978363
25.802666,8.256001,53.724480
25.975334,8.395998,53.396362
26.269333,8.216002,51.833885
26.326666,7.672001,49.119308
26.322001,8.636000,54.714211
26.173334,8.504000,53.654877
26.373333,8.427999,52.495625
25.589333,10.803999,125.532928
22.596001,18.128002,253.477325
25.277332,9.944000,127.354073
25.289333,9.983999,131.541397
26.481819,6.586365,50.070351
26.440001,8.927999,63.980549
26.416000,8.379999,59.543293
21.190001,9.596001,38.336544
26.162821,10.392307,66.102867
14.494667,22.931999,569.410522
25.160667,11.980000,140.524719
24.821333,12.299999,149.863602
24.626667,12.048000,149.891922
24.884001,12.228001,148.721237
23.102667,10.500000,93.112160
21.114000,10.584000,86.337723
23.638666,11.148001,85.792641
24.115334,10.776001,124.629738
20.774000,10.552000,80.712334
22.503334,10.952002,79.640343
24.868668,8.700001,59.998093
23.816000,8.699999,61.865852
23.112000,10.348000,69.102463
20.560667,10.084000,78.492027
25.930668,7.580000,49.291958
14.283333,18.139999,372.045105
21.490000,15.875999,213.764954
18.520000,21.835999,423.038910
26.170666,10.092001,96.475975
25.875334,11.559999,106.284340
26.507334,9.348000,84.885735
26.591026,8.284615,69.995018
24.584000,12.903999,145.659027
24.639334,13.136000,140.685699
24.443333,12.664000,147.972809
25.770666,14.204000,148.561279
25.573334,11.648001,101.320534
25.398666,12.300001,145.129745
24.784666,13.028000,156.817215
24.969334,13.540001,157.069489
25.639334,13.127998,165.358917
26.301332,9.264000,77.326607
26.353333,9.264000,74.602333
20.334667,12.536000,103.772675
20.888000,17.348000,232.580353
26.383999,6.688000,48.244808
26.316666,7.468000,50.511356
26.171999,9.284000,73.251663
25.983334,10.276001,104.441620
26.307333,7.867998,51.180462
26.364666,8.820002,57.226612
26.268000,8.936001,61.965656
26.348000,9.091999,64.914230
26.227333,8.667999,57.393707
26.260000,9.308001,67.894722
26.213333,9.332001,68.840767
25.296665,10.940001,137.510193
25.590668,10.728001,127.067940
26.469334,8.180000,59.281807
26.467857,6.728571,51.310467
26.441334,8.916000,67.976746
25.861334,9.823999,116.792816
26.502001,7.855999,58.816406
25.936001,10.128000,107.022881
26.516666,8.615999,66.653511
26.464584,10.587500,119.934525
26.507778,11.946665,134.017776
26.420834,11.390001,119.963715
25.903999,11.724001,120.298485
25.742668,11.712002,121.639343
26.093332,12.372000,139.473434
26.048668,10.807999,112.322182
26.315218,9.595652,91.079285
20.108000,22.327999,437.340454
14.831333,22.240002,555.906555
17.816666,19.531998,463.602295
26.156666,6.803999,46.657780
26.103333,7.136000,48.776527
24.817333,7.576000,47.257904
24.691334,11.791998,134.637283
25.270666,11.855997,132.035873
25.242666,12.024000,138.130997
25.016666,12.115999,140.985931
23.872667,10.812000,120.951897
24.103333,10.684000,105.101166
23.849333,10.623999,90.480141
23.092667,10.992001,77.151726
23.939333,11.136000,82.182175
18.080000,9.676000,68.763611
20.750668,28.136000,489.774048
21.166000,27.316002,456.666168
24.941334,12.080002,181.068939
25.764000,10.504000,102.945015
25.245333,11.060001,123.358398
25.572001,10.903999,113.831612
24.770666,9.468000,68.049667
25.545334,10.264000,87.107986
25.456667,9.427999,58.722408
21.658667,9.536001,74.466156
24.454000,9.856001,66.943665
24.659334,9.339998,59.848904
23.560667,9.640001,65.436172
24.412666,8.883999,54.258644
24.019333,8.424000,55.103958
23.456667,8.160000,55.945053
25.579334,11.816000,101.498924
25.738001,11.631998,101.736801
25.359333,11.840002,99.255501
24.410000,12.872000,128.068069
24.454666,12.927998,147.954346
24.456667,13.128000,140.416489
26.270666,10.383999,97.309677
25.842667,11.451998,105.497398
22.424000,15.288000,184.306274
26.062000,9.308001,103.194527
26.426001,9.323999,79.226639
20.602001,12.340000,98.807770
26.082666,10.731998,103.644417
25.566668,12.260000,151.884720
26.428667,6.552000,47.968971
26.195999,9.063999,70.131332
25.715332,10.584000,119.961227
26.349335,7.783998,51.764275
26.401333,7.723999,51.320919
26.413334,8.628000,57.022327
26.281334,7.935999,51.425838
26.396000,8.808001,59.490475
26.334000,9.323999,68.434029
25.593334,10.655998,125.544998
26.360666,8.612000,74.663010
26.210667,9.128000,82.825027
26.576389,7.633333,59.744442
26.777332,8.132000,58.920456
25.864000,9.735998,118.095268
25.848000,9.792000,114.503624
26.482666,11.312000,117.840767
26.468519,10.672220,108.970695
26.445238,10.528572,107.007751
21.269333,27.824001,465.449524
25.839333,12.020002,133.801697
25.903334,12.640001,127.182411
25.591333,11.619999,122.616066
25.873333,12.104000,139.552139
26.316666,6.260002,45.503120
25.014000,7.452002,46.705299
26.177999,7.491999,49.247814
20.874001,8.868000,62.381958
23.517334,9.104000,62.915359
25.033333,9.572001,63.448071
19.454000,9.980000,70.490463
23.646667,10.487999,71.851120
23.598000,10.600000,75.790100
23.278667,10.403999,68.937462
23.493999,10.688000,80.482895
23.667999,10.480000,96.604004
25.261333,11.775999,128.973404
25.192667,11.964001,138.622009
17.400000,19.984001,440.319794
25.574667,11.360001,142.275909
25.618668,11.351999,139.398087
25.137333,11.128002,128.068634
25.264668,10.931997,131.374588
25.749332,10.804001,112.844254
25.834667,9.827999,73.959503
25.709999,9.667999,75.451996
24.886000,9.063999,57.414875
23.193333,9.575998,67.402107
25.222668,9.196001,56.072651
23.916000,9.243999,60.749920
25.085333,8.920000,52.251930
26.389999,9.207998,57.803738
25.860001,7.879999,48.332275
25.605333,8.020000,47.509605
24.903334,16.363998,183.178070
25.372667,13.512001,155.341782
25.750668,11.615999,146.251419
25.363333,12.708002,147.001358
24.698668,12.795998,152.595276
18.932667,11.864000,98.085579
18.682667,12.151999,105.835411
26.096666,11.327999,112.829536
25.930000,11.144001,100.638130
25.651333,10.956001,83.879295
26.408001,9.032001,64.370201
26.352001,9.276001,68.989197
26.382668,8.580000,58.681973
25.664667,10.511999,129.440033
26.413334,6.600000,50.903687
26.452000,6.587999,50.268555
26.498667,11.751999,74.934570
21.910667,17.603998,268.683960
25.804001,9.576000,122.300667
25.972668,9.408001,112.195152
25.844000,9.552000,124.243507
26.911905,7.942858,58.148117
26.697618,7.985714,65.054092
26.353573,10.192858,101.804024
26.318420,10.615789,109.629837
26.245333,10.728001,126.606407
26.303333,11.111998,85.210831
25.813334,11.775999,140.096069
5.567333,32.264000,880.827332
19.214001,9.608001,71.305725
19.435333,9.707999,69.848175
19.418667,9.704000,70.994377
22.705334,10.256001,70.734291
23.164000,10.300001,70.702324
23.582001,10.296000,70.509247
26.356667,7.056000,47.786388
26.138666,7.492001,48.050385
24.103333,8.528000,51.040043
26.139999,10.728003,86.925468
22.768667,21.691999,339.164673
