V1,V2,V3
-302.902313,230.527618,224.493530
-301.963684,230.121429,219.672180
532.076172,354.468536,6.266674
1260.572632,349.107483,-81.964424
2621.544434,275.198761,-241.071671
3076.406250,206.330200,-279.443176
3155.513916,232.123627,-340.783295
2609.216309,311.052307,-333.818848
3007.944824,331.725891,-383.859802
2677.657959,356.522064,-361.882996
2466.712891,371.116516,-341.346649
2488.514160,383.580109,-344.410034
2516.272705,405.052429,-350.615021
2229.646973,421.286133,-310.650635
1868.862793,603.620911,-215.179672
1409.922485,444.617645,-154.542358
1156.711670,436.755157,-104.540886
361.087280,432.121979,391.604401
408.980316,370.651581,234.098267
335.357483,418.093628,383.284973
563.928284,429.900085,323.443848
782.374084,449.920746,365.840790
2099.276611,349.060425,-396.108826
2896.387695,-39.019577,-515.576538
2530.599854,356.826630,-327.750824
2415.116455,378.668701,-325.939972
2412.321289,138.356323,-487.250031
2197.002441,323.615570,-403.137756
2161.627930,175.930908,-449.092621
1585.621582,334.236908,-102.960724
1890.880615,296.349701,-127.334343
2207.084961,182.486450,-106.090355
2207.162598,-14.933805,-351.525543
1418.449463,125.327904,-284.050781
1646.436768,83.166092,-301.608643
1742.901611,43.234566,-328.113617
-171.473511,265.144073,258.873810
-169.249680,264.140198,252.520172
2505.241943,372.491943,-337.162323
1856.116577,594.945862,-205.521881
2388.084473,388.170898,-324.002228
1638.134277,583.827332,-157.959015
1505.127075,580.524292,-129.337860
2700.117676,537.350159,-307.478851
2381.546875,304.122711,-293.709320
265.836243,343.142334,46.624115
334.569244,419.599670,341.490570
1119.142212,327.550415,-138.668961
822.510986,458.665924,398.413910
483.651489,439.247528,382.450836
660.183105,418.650879,207.467682
825.391235,456.275238,381.924408
105.882965,359.806580,406.747498
-613.200867,398.008698,330.323303
340.127594,389.283600,94.445137
430.261292,404.465332,79.273880
1440.859131,404.236633,-65.878319
1927.072998,249.862656,-322.932953
1697.910400,412.174622,-96.232811
2905.431396,-93.745056,-437.877167
2641.501465,75.020699,-153.160065
1725.339844,41.584991,-307.137360
3146.104248,-24.469795,-568.954041
2372.418701,292.028717,-408.927765
2495.190430,206.434158,-493.734863
2612.121826,178.777512,-510.527100
1507.521362,472.385040,-217.621597
930.177795,458.552002,-75.790596
2552.546143,359.854187,-336.547974
