"","B.cae","B.cey","D.rus","E.car","H.spp","N.naj","T.tri"
"1",7874.54447152379,2940.80133100044,14126.7499394254,1925.20967695356,12306.9576881156,12646.2610453434,5190.61839211002
"2",7877.80782160269,2955.6347723345,14126.1548251214,1943.21542758817,12305.031827601,12638.0266871323,5208.3639434409
"3",7878.74712314053,2962.83346988535,14125.1582570076,1967.26043346034,12301.8633000495,12659.1563760988,5222.75842274745
"4",7880.64175390844,2958.66724918186,14122.4064157694,1939.61790402265,12296.0888780804,12639.1437689521,5202.30016744526
"5",7879.13495651305,2932.63119213763,14105.2310255334,1915.73512196947,12259.836089335,12627.6817419183,5173.77120922311
"6",7876.74782428712,2939.1203386177,14122.9917166511,1930.37980998823,12303.9150875779,12642.7853343623,5187.38605177398
"7",7883.04365326045,2957.39654082671,14118.559144908,1943.14209239436,12293.0865523069,12635.6883463695,5200.48810827284
"8",7882.69119126361,2951.53748912856,14119.1572254306,1957.25285495334,12305.5422593236,12639.6764509169,5209.86764800614
"9",7877.26832286676,2942.10485505605,14128.4757067694,1917.26687668475,12288.4429411967,12638.4743806032,5184.85811114466
"10",7898.36915064303,2944.21011734954,14190.7410838773,1935.70904135761,12344.0990047399,12714.2447167398,5213.44081164601
"11",7910.12429907775,3065.71380137052,14185.4921138286,2023.03552318497,12351.9132727496,12729.5537554939,5308.97449842668
"12",7892.1051616998,2962.75594914955,14144.0301623467,1964.76258771463,12328.8771106321,12660.2478433853,5224.70328445515
"13",7918.67504383399,2951.82441854423,14141.8409683883,1969.91228613564,12329.689295793,12651.5431470712,5220.62749488067
"14",7894.59412887366,2956.3934054747,14154.1001990974,1937.74456590391,12312.1059689334,12668.5674391098,5204.86277013406
"15",7916.2731667445,2995.50796123548,14152.2742150399,1994.61540888733,12313.5991107256,12676.4387331049,5216.00177309356
"16",7882.24228236332,2947.54066155109,14157.8972902494,1934.07529970713,12331.0518210784,12676.7911289984,5193.0545846742
"17",7897.04656268832,3029.17214216149,14157.140011263,1987.11937387084,12335.7754059295,12680.3274443886,5248.55875714068
"18",7875.21491642461,2952.52828515157,14125.385095827,1931.74781096892,12282.7618497133,12637.5913757451,5201.55566616831
"19",7916.49339023749,3037.41290796994,14124.2441864904,2027.25452346323,12283.7830448637,12658.8495114405,5249.82285165867
"20",7867.08171206321,2944.18977211068,14126.0728072769,1925.21314426804,12308.0528735445,12641.2150918233,5191.30442189681
"21",7883.89429404339,3068.12639647339,14123.1180852809,2008.21217191548,12313.765480651,12657.2486692799,5292.77880983205
"22",7866.84649712789,2965.82521184153,14117.5795998547,1953.81903276484,12301.093205993,12637.2230296709,5206.57774052701
"23",7881.85091381844,2954.65661946754,14110.9389705268,1952.28989897767,12294.902126044,12628.1027376856,5205.71144451909
"24",7873.88509653507,2954.46860621181,14127.9639513358,1934.65092819691,12286.5119098099,12639.9170129958,5203.54271549269
"25",7918.12202894469,3037.26751139316,14125.543754612,2020.484134678,12285.7058366484,12659.7795399852,5249.99298163412
"26",7866.114762446,2946.07477174972,14128.8011966048,1929.12922361925,12311.6774213394,12644.1175474506,5193.42875850454
"27",7883.25786594275,3067.05241673236,14124.4758712744,2003.40871658007,12315.6886093936,12658.2559107058,5291.73100775708
"28",7875.05456031475,2956.41129219583,14119.4198902738,1933.58874038639,12286.6577971209,12631.0444235762,5198.52439177974
"29",7908.00537498402,3026.8068286691,14125.4280550872,2006.64297345906,12285.7242910886,12660.5115935798,5248.99028344647
"30",7868.44226490056,2939.3817517928,14129.6236836571,1927.55905677026,12309.0253336969,12642.9787040931,5192.02521121156
"31",7883.62955486541,3048.36262920756,14125.0901821556,2006.82954038283,12312.7441032391,12657.6111370201,5285.06383446724
"32",7876.73545625962,2954.11163039062,14125.9924268197,1935.67247924902,12284.6500118036,12640.0192411976,5204.91926953398
"33",7918.43751207029,3038.55849772846,14125.12022038,2026.57818877707,12285.4926976614,12660.8420806741,5249.99194962919
"34",7868.10551371392,2947.16614211594,14127.4050246561,1928.29882463968,12307.2905906871,12645.1037601335,5195.15201823613
"35",7885.06925582225,3064.27726559405,14121.4468225134,2009.98659561055,12310.9680075049,12659.004800751,5288.74461898218
