"","coords.x1","coords.x2"
"1",484880.940585829,530894.196218276
"2",483468.277983146,532058.64816665
"3",481766.783880943,533175.504170894
"4",484418.089628624,529801.354515856
"5",485421.932513084,532864.851254441
"6",480390.139613392,532876.891561476
"7",483324.035209244,529634.125438317
"8",481039.64600683,530607.48644462
"9",479049.58818216,532739.680817316
"10",480252.19615896,529526.632671159
"11",480895.092528123,528566.301038628
"12",481570.308879556,527803.176608072
"13",480585.753602958,523630.819768461
"14",487728.910266634,529668.045420102
"15",479989.524571562,526239.689412113
"16",479275.424473551,517999.659363368
"17",477656.712237848,518133.330162401
"18",482049.982320149,520449.915335022
"19",426982.240687212,447045.068218908
"20",454104.89340557,430555.167679223
"21",447748.950579709,433820.368856019
"22",467192.780198691,430024.038318852
"23",460206.802152944,437054.486210057
"24",463791.415165523,412627.766375867
"25",432114.740264221,421171.227140243
"26",471581.211285943,504711.43538562
"27",466367.766650725,508825.32495648
"28",472642.776938463,502909.36931301
"29",469964.890262441,502812.267248565
"30",465468.858306452,498804.240551499
"31",461129.59619769,496406.900836677
"32",461708.020402733,498689.118358096
"33",463683.954473014,498304.641694132
"34",537673.855320265,492033.427295485
"35",524735.220440769,480645.588756635
"36",520542.559705866,478852.954068634
"37",529218.61139623,482020.766765821
"38",477969.602805161,453652.672930195
"39",492340.972926987,463038.437203169
"40",493533.848449693,463453.792356434
"41",492295.093794697,461572.579917152
"42",490069.446148956,463421.4472587
"43",485025.12710636,512147.793832557
"44",486872.722587673,511994.284936624
"45",482724.548679341,512532.824765163
"46",484764.156917634,510268.890598096
"47",514827.497893883,488791.133977916
"48",516830.263826565,488714.012786788
"49",513534.075558846,483057.384770839
"50",514727.744355524,481075.984462272
"51",452245.563110737,389806.912610174
"52",446544.382944244,393421.781452913
"53",505243.924218314,491734.406090327
"54",507883.56488953,547731.749775709
"55",492922.609196443,555352.26318973
"56",496772.984849706,544839.806883613
"57",494840.544597357,552569.914677346
"58",444714.519232334,427483.280323097
"59",443099.018378077,426249.411224882
"60",439750.509070454,425553.413692496
"61",430577.341563845,421593.859666923
"62",442067.985323589,460301.875058508
"63",461212.836220605,409561.791738667
"64",460851.962615587,406650.354640805
"65",458007.676756594,423648.173827222
"66",454603.31371632,421956.22459158
"67",472749.403968911,398804.560846306
"68",466335.30299893,400373.165083993
"69",462013.319626091,396537.485400331
"70",478863.711419142,408652.822773227
"71",479342.55611421,406625.876645536
"72",482210.163581611,385309.040805495
"73",483452.975933012,384168.248073297
"74",499731.496211435,544377.217917024
"75",471619.363382926,430727.764132001
"76",480461.805177614,432357.602589894
"77",455503.036574852,395145.227605393
"78",454826.537338327,416960.454085789
"79",452230.294282585,405072.075946383
"80",454735.439302238,405699.672269349
"81",441847.166777042,391989.792265969
"82",442244.073737263,391049.818827011
"83",447542.896859208,426372.275316047
"84",447722.806164674,418774.747837046
"85",433752.206780891,423839.299189296
"86",433672.312596947,429764.877039692
"87",463047.686984923,487816.712743383
"88",463416.305705641,486425.352794444
"89",564149.171610231,516310.544715285
"90",580338.669289795,435455.600890289
"91",551556.205330914,518068.388237163
"92",513611.611197161,542713.233922037
"93",513259.89412812,543365.82375499
"94",513944.449021064,522029.250934643
"95",441536.719424328,414348.198370196
"96",475289.448029781,518340.148189108
"97",470692.886964002,434798.758533897
"98",502902.812671,479630.822563632
"99",504738.780284851,464890.688897599
"100",473422.217160987,474108.506190029
"101",501730.943278652,489958.954542846
"102",515799.362206481,474111.411121089
"103",423502.421456654,410514.191213274
"104",478976.421772213,531247.07437202
"105",517788.555141938,486821.346334299
"106",482649.032551414,529395.265464597
"107",455043.373446554,529412.620709759
"108",565485.470415779,520226.327733278
"109",444760.538859402,426572.287756635
"110",473459.878985323,545986.84413104
