"","coords.x1","coords.x2"
"1",426137.208707465,633116.520306389
"2",449303.514857771,644333.512859625
"3",394415.966313485,579273.557495769
"4",580338.669289795,435455.600890289
"5",414795.839072431,656649.460656633
"6",497390.015345444,698964.73431859
"7",519508.933444277,400393.463695772
"8",614427.769966132,473319.652568633
"9",565485.470415779,520226.327733278
"10",482677.969645815,588380.596690536
"11",455043.373446554,529412.620709759
"12",599566.721672679,533431.487926171
"13",605411.984798934,534937.948472151
"14",612535.074406261,539771.549367895
"15",616181.544120237,545790.796752548
"16",594002.685318282,576031.909428498
"17",604528.367440172,576688.788175993
"18",590103.191891757,586830.444320588
"19",601927.61489897,449821.572959531
"20",589166.396661652,454904.743340564
"21",546670.851483564,675909.18359414
"22",545567.146009983,687002.353437316
"23",516975.411610403,609385.835622475
"24",514613.54749676,614717.746149181
"25",498033.856582945,605170.776157112
"26",459484.716197195,654568.105105824
"27",457570.934885296,648663.807718805
"28",463614.634172159,651402.023785793
"29",471634.569960357,649343.986698023
"30",470388.568442724,649577.780508143
"31",473509.834111588,653621.529627462
"32",490556.425612452,657001.247275323
"33",385747.16744252,634086.474285646
"34",394695.5192034,636035.509047315
"35",412359.534256838,673338.28656514
"36",456325.555495387,690556.260400834
"37",518002.53884359,571418.046472804
"38",486666.658644525,578096.991311037
"39",509226.282791895,559282.330240574
"40",396135.920835953,640176.220668667
"41",481496.612315822,614597.380456955
"42",466724.356548352,614556.416629279
"43",615265.405384648,486240.065310933
"44",616229.135024066,482122.60453533
"45",549430.757880415,415719.722655203
"46",562071.85020475,415424.632908048
"47",459174.12364753,644795.22111391
"48",450884.353404805,635611.138295499
"49",461444.715770847,638219.644933926
"50",465837.196563891,643658.175275414
"51",472057.005410769,647399.577944814
"52",554713.141571706,466183.085007648
"53",573626.18021685,450305.428965391
"54",512623.750364211,629537.043658691
"55",509788.983103231,625701.378403796
"56",584442.204522704,523620.694970357
"57",583166.046437563,505391.461977067
"58",466819.490136643,622961.643279871
"59",612989.838392685,471736.5525663
"60",493279.591705993,680768.540446854
"61",513301.098753777,690693.276803547
"62",463315.371362751,621164.675384168
"63",599716.212729245,468540.664066298
"64",451510.198536103,619495.562140454
"65",512107.871954407,610406.293250163
"66",609548.690462818,459179.993356193
"67",525166.877586115,601207.779257659
"68",525597.7734077,649343.031501957
"69",525416.791409306,603112.689759955
"70",506764.706357786,672483.641737574
"71",459230.260373855,626666.136600249
"72",474164.634493121,694629.78372347
"73",572654.747308948,625698.91615473
"74",517241.665763019,595414.087988751
"75",525665.36469089,606940.513286302
"76",453845.858722401,552663.892122962
"77",439689.2199403,643308.907006085
"78",545095.103845885,602178.93512578
"79",397785.070097888,608515.725337879
"80",397155.888023333,615154.033534642
"81",467025.920536801,556973.333865317
"82",416903.074375264,637014.112974296
"83",556263.893002311,654593.343079259
"84",399323.010322112,633712.506448247
"85",420692.980045453,546187.407531253
"86",400643.72100309,522003.000101685
"87",462449.438311843,564316.060032727
"88",392446.489491928,563167.349162341
"89",428545.541851174,560584.952124072
"90",420813.21508925,517366.418972102
"91",419500.292578519,552278.788719387
"92",399299.013517023,554893.316503359
"93",512056.832284649,709964.128023673
"94",582771.567856845,601954.205368159
"95",419477.956437068,625566.094133392
"96",420235.653663915,547786.469902126
"97",579665.448040363,572623.364134124
"98",520614.322385251,717909.671637221
"99",562024.110255764,435221.804517362
"100",504372.015155252,750688.946733971
"101",556908.822121849,420244.628169815
"102",562746.027378218,558373.88770014
"103",553491.876344237,605141.748489607
"104",500351.700524197,617513.936137725
"105",553811.056686151,558054.033368867
"106",574892.847284549,432317.962173245
"107",499927.992771934,612572.218098963
"108",506196.312094953,611342.503405495
"109",466167.06826282,638356.418561531
"110",489689.990689748,567267.894371978
"111",472785.865067373,634067.965196465
"112",405312.562373489,619761.848713813
"113",408752.540185191,616394.918660762
"114",502166.189541811,581014.376777901
"115",469904.812476378,640737.524338516
"116",545679.862392463,581729.539196692
"117",568409.445618834,609236.306576663
"118",514946.845799757,567742.115137352
"119",504781.953460804,586190.45950926
"120",549154.770984545,573401.260275515
"121",493099.07967874,598076.856063474
"122",516176.592944521,583002.000320206
"123",538734.054802448,600164.177166952
"124",487513.040138332,597045.021162345
"125",439774.778648984,571309.966150136
"126",516948.256352973,557580.316623883
"127",415830.287243406,597149.673099203
"128",429756.718129075,584488.524497075
"129",490006.660456638,602128.342466881
"130",495699.071403912,599328.547035033
"131",515569.496079672,606088.136273844
"132",418269.723382593,797462.490257224
"133",420817.72053067,803127.433682761
"134",436586.709769992,795751.157660632
"135",436363.299770957,808324.043341505
