"","coords.x1","coords.x2"
"1",484493.65749908,531241.373530512
"2",480197.539559132,530258.106701106
"3",481279.840905374,529340.409271338
"4",481188.55960244,530597.773793743
"5",480009.322468522,531029.99087926
"6",480282.806126299,532193.786872896
"7",478546.537653681,529360.225032058
"8",483299.791373321,532220.776075574
"9",482249.096268716,533040.45522087
"10",482473.000104611,527295.603261341
"11",483222.585876286,528169.485820386
"12",485317.38191869,530129.521619732
"13",485368.477778364,531339.461209672
"14",481481.780185872,525256.244658764
"15",482653.178989613,535351.189311059
"16",486631.36069931,535003.490399545
"17",491587.737645915,534849.676730085
"18",496853.86451729,531401.373754177
"19",496614.060379141,534606.099440441
"20",492364.588882536,525615.930690992
"21",476588.196713282,536111.449973896
"22",482278.455480877,540745.927692949
"23",493192.173735889,539785.582491237
"24",485251.902647908,548272.641419234
"25",480163.129619422,547421.523700306
"26",483137.832965736,551172.823174256
"27",488543.355878821,556948.056300072
"28",485076.487699302,533152.160438957
"29",485753.405213296,532997.141745531
"30",486834.866305199,533193.097797783
"31",480112.692157337,537540.817148568
"32",530593.010230783,500208.565776175
"33",529870.372516215,498278.074806174
"34",529061.500275299,494861.494516538
"35",538263.845164959,495850.686827111
"36",459245.16894515,644672.537143572
"37",455484.337770265,648070.772598909
"38",501667.452898113,534411.274184338
"39",470604.129118535,649136.878594129
"40",455969.331999959,644268.862441039
"41",485350.247945701,584054.170364295
"42",508673.445445383,532643.299255645
"43",499446.874755853,544065.285476121
"44",481314.68533096,569138.745609967
"45",502926.347745145,559725.939902926
"46",470533.264110235,640922.596216562
"47",485407.119877156,585919.854029581
"48",501963.476732714,534837.586060263
"49",507932.454800011,547908.108159676
"50",500183.387181865,535650.817889267
"51",504583.26021358,531563.115225023
"52",491940.636524326,459214.010290082
"53",490817.259708036,464468.742523496
"54",500732.343576087,548608.117050366
"55",492758.072078847,463844.093552331
"56",496441.085694903,461869.180303029
"57",495285.16353343,550913.898721678
"58",493273.883164391,549183.933266326
"59",492368.939907382,463020.296352368
"60",485278.422496338,584799.12488302
"61",497453.966988101,546027.411700857
"62",461709.439869538,498791.412218335
"63",462906.039430697,497430.079467456
"64",458947.361279384,499656.112285075
"65",461182.857155546,496172.367779131
"66",459637.144286659,498031.151512431
"67",453267.307921375,501210.761097761
"68",451949.834232597,492796.456297088
"69",463095.951117149,488219.009336575
"70",472423.896410691,490565.251270183
"71",472932.712619343,489200.34885702
"72",468700.239054351,491665.743203268
"73",468425.439320977,498347.522224441
"74",472337.547824995,502919.737952199
"75",465215.44049519,509611.962386864
"76",471477.624894424,504756.183659544
"77",481796.366077934,520015.204518597
"78",474211.361486501,517211.553657318
"79",476912.009178046,518868.284966501
"80",475465.391658463,520421.184112452
"81",481810.117821837,516344.280122657
"82",469766.915275559,518825.919948522
"83",456727.183202626,467508.009824971
"84",475881.176648032,463858.942434891
"85",472950.266629714,459581.557792853
"86",457398.528612935,460510.916326304
"87",445191.435808531,470125.968810883
"88",470756.66887573,471851.521063624
"89",463592.688091688,473040.155493453
"90",454485.865438738,480109.133761274
"91",459686.235524727,481738.510805547
"92",445621.729767262,484554.503073512
"93",432141.146767212,470349.403200981
"94",436577.135624662,495810.033023533
"95",430000.273440719,495354.135573724
"96",423350.736135148,497864.703581573
"97",423893.232224005,488753.347861689
"98",433533.440972554,500714.871280831
"99",441719.282805771,503019.762909264
"100",433914.813425071,498354.656964566
"101",440894.987149814,502033.952982093
"102",437911.195222056,504021.858558757
"103",487779.448713984,501369.31458581
"104",485696.8025653,501718.735341443
"105",490883.63595022,502573.161692819
"106",486015.099546112,505506.883234373
"107",491041.922986334,506218.922219838
"108",425297.790866298,454454.291116546
"109",422386.774021116,457747.304274575
"110",447241.530649452,503114.383856153
"111",449460.875404684,501584.110793346
"112",449026.755885747,502672.802616514
"113",448885.190457872,504035.980338959
"114",412800.055952055,438981.815822099
"115",416296.914662374,439173.193961151
